Subject,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,Clackmannanshire,,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,,East Renfrewshire,"Edinburgh, City of",Eilean Siar,Falkirk,Fife,,Glasgow City,Highland,Inverclyde,Midlothian,Moray,,North Ayrshire,North Lanarkshire,Orkney Islands,Perth & Kinross,Renfrewshire,,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,,West Dunbartonshire,West Lothian
Media Studies,0,2,0,0,0,,0,0,0,0,0,,1,2,0,1,0,,0,0,0,0,1,,0,3,0,0,0,,0,0,0,0,0,,0,1
Business Education,24,42,17,16,9,,25,24,13,25,18,,26,47,6,23,63,,78,29,16,11,9,,15,58,4,16,31,,16,8,19,68,15,,18,35
Computing,12,20,15,10,7,,7,22,12,22,10,,19,48,2,19,40,,53,11,13,10,8,,25,36,2,22,26,,9,2,11,47,10,,15,26
Home Economics,20,33,25,16,8,,28,27,14,23,15,,21,49,8,28,57,,59,32,11,16,15,,16,61,4,25,26,,19,7,18,55,10,,14,25
Technical Education,27,64,31,23,16,,38,32,36,30,23,,27,61,10,38,89,,95,71,22,28,19,,39,89,9,31,47,,24,9,28,79,28,,24,49
PSE/Guidance,30,62,16,3,6,,3,17,8,2,20,,4,56,2,12,20,,43,31,1,17,25,,16,13,2,21,9,,29,5,19,15,0,,0,11
Art & Design,29,44,24,23,11,,31,29,31,30,20,,24,61,7,33,72,,91,51,17,21,17,,34,81,5,33,41,,20,6,23,61,21,,22,38
Music,26,31,20,20,9,,25,25,20,24,17,,23,50,5,39,61,,83,43,18,17,12,,26,68,6,19,33,,17,5,18,64,18,,18,33
Physical Education,52,75,39,31,19,,54,42,41,49,32,,56,118,11,96,120,,160,84,25,32,25,,45,130,7,52,61,,36,9,38,108,42,,30,73
Drama,17,25,5,6,2,,16,8,2,11,8,,21,34,0,17,47,,53,4,2,4,10,,2,26,2,12,2,,5,0,0,38,1,,1,12
Learning Support ,14,82,25,18,4,,34,48,36,14,18,,25,32,9,48,27,,35,36,10,15,21,,32,40,9,36,18,,5,6,35,36,9,,13,17
ASN general,12,14,5,2,5,,2,1,5,1,1,,0,2,1,2,38,,3,13,1,0,2,,0,1,0,2,3,,0,0,2,5,3,,0,5
ASN Behavioural Support,6,7,2,3,0,,2,1,0,2,4,,2,2,0,2,13,,2,5,2,1,1,,3,0,1,1,1,,4,1,1,4,4,,5,0
ASN Learning Difficulties ,11,16,11,5,4,,0,3,4,0,7,,4,7,0,1,15,,3,14,4,0,8,,1,0,5,2,2,,2,12,1,12,6,,2,2
ASN Physical Disabilities,0,0,0,0,1,,0,0,0,0,0,,0,0,0,0,1,,0,2,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
Hearing Impairment,0,0,1,0,0,,0,0,3,0,0,,0,0,0,0,0,,2,1,4,0,0,,0,8,0,0,0,,0,0,0,6,0,,0,0
Visual Impairment,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,4,0,0,0,0,,0,0,0,0,0,,0,0,0,5,0,,0,0
Not known/Other,28,14,4,4,1,,3,1,2,3,0,,1,8,1,4,40,,9,41,0,1,4,,5,6,0,0,3,,3,1,5,8,1,,0,5
