Subject,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,Clackmannanshire,,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,,East Renfrewshire,"Edinburgh, City of",Eilean Siar,Falkirk,Fife,,Glasgow City,Highland,Inverclyde,Midlothian,Moray,,North Ayrshire,North Lanarkshire,Orkney Islands,Perth & Kinross,Renfrewshire,,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,,West Dunbartonshire,West Lothian
Music,28,32,20,21,8,,25,23,22,23,16,,23,44,5,38,58,,86,43,18,18,13,,30,70,7,23,32,,19,5,22,61,21,,19,36
Physical Education,51,76,42,31,21,,54,43,46,42,34,,53,119,9,94,131,,170,84,27,37,25,,48,128,8,53,63,,37,9,37,119,41,,35,76
Drama,16,27,5,6,0,,17,9,3,11,8,,18,35,0,17,46,,60,5,3,4,8,,4,30,2,12,1,,7,0,0,38,1,,1,14
Learning Support ,16,84,15,23,6,,31,48,30,13,18,,20,34,10,54,38,,40,47,8,18,20,,30,40,9,37,18,,29,4,28,29,8,,13,19
ASN general,14,12,5,1,5,,4,1,7,1,0,,0,2,1,1,36,,3,15,1,0,5,,0,1,0,3,2,,0,0,2,6,3,,0,3
ASN Behavioural Support,7,5,2,1,0,,1,2,2,0,2,,2,1,0,2,9,,2,7,2,1,2,,2,0,1,2,1,,9,1,1,1,5,,3,0
ASN Learning Difficulties ,11,13,20,2,3,,0,2,4,0,4,,3,7,0,0,12,,4,18,3,2,8,,2,0,5,0,1,,7,12,3,12,6,,2,2
ASN Physical Disabilities,0,0,0,0,1,,0,0,0,0,0,,0,0,0,0,2,,0,2,0,0,0,,0,0,0,0,0,,0,0,0,2,0,,0,0
Hearing Impairment,0,0,1,0,0,,0,0,4,0,0,,0,0,0,0,0,,4,0,4,0,0,,0,9,0,0,0,,0,0,0,4,0,,0,0
Visual Impairment,0,0,0,0,0,,0,0,1,0,0,,0,0,0,0,0,,5,0,0,0,0,,0,0,0,0,0,,0,0,0,3,0,,0,0
Not known,26,10,5,5,0,,2,1,7,8,4,,7,10,2,6,33,,21,24,1,2,5,,8,10,0,0,2,,2,0,3,18,1,,1,5
