Subject,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,Clackmannanshire,,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,,East Renfrewshire,"Edinburgh, City of",Eilean Siar,Falkirk,Fife,,Glasgow City,Highland,Inverclyde,Midlothian,Moray,,North Ayrshire,North Lanarkshire,Orkney Islands,Perth & Kinross,Renfrewshire,,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,,West Dunbartonshire,West Lothian
Religious Education,19,32,11,7,7,,18,20,8,17,11,,22,43,5,21,42,,67,27,11,15,10,,18,51,4,19,27,,14,1,15,42,15,,14,28
Modern Studies,16,30,2,6,10,,17,22,9,18,14,,9,31,3,10,54,,51,11,8,3,8,,8,45,1,12,21,,10,4,14,33,10,,15,20
Media Studies,-,-,-,-,-,,-,1,1,-,-,,-,4,-,-,-,,2,-,-,1,-,,-,1,-,-,-,,-,-,-,1,-,,-,-
Business Education,26,42,21,17,11,,29,25,14,25,21,,22,50,6,31,71,,93,37,19,12,12,,15,54,4,18,28,,20,8,19,61,15,,16,38
Computing,17,28,16,12,6,,16,25,15,21,9,,21,51,3,21,41,,58,15,11,10,9,,21,50,2,20,25,,9,4,18,48,11,,14,30
Home Economics,24,34,23,19,11,,32,29,20,21,16,,19,54,9,30,56,,74,37,17,16,19,,21,69,4,27,27,,21,6,23,56,12,,16,34
Technical Education,37,64,29,24,18,,46,34,35,31,27,,31,67,12,43,91,,99,78,26,25,24,,36,95,7,34,51,,26,10,28,78,26,,26,51
PSE/Guidance,25,67,13,5,3,,3,12,7,3,23,,5,51,1,9,3,,46,34,1,11,27,,18,22,1,25,6,,27,6,17,18,1,,1,19
Art & Design,34,51,26,27,10,,34,36,34,31,20,,26,67,7,32,86,,92,56,17,20,18,,33,82,5,28,41,,24,9,26,64,21,,23,37
Music,25,31,18,18,7,,32,24,23,22,17,,22,46,5,29,60,,74,46,16,17,14,,27,68,5,23,34,,20,7,24,61,20,,17,34
Physical Education,46,73,41,28,17,,58,43,45,42,29,,49,118,11,66,124,,146,88,24,32,29,,45,130,8,50,57,,44,10,35,101,39,,29,68
Drama,19,27,6,8,2,,17,9,2,5,9,,16,31,-,12,41,,48,7,3,7,10,,3,26,2,9,4,,3,-,-,34,-,,1,10
Learning Support ,26,87,33,20,3,,52,55,31,18,19,,21,34,10,51,58,,47,67,11,19,26,,32,45,6,14,17,,8,4,41,45,6,,15,21
ASN general,15,13,3,2,3,,1,2,4,1,1,,-,2,2,1,25,,5,17,1,-,6,,1,-,-,7,5,,-,2,1,7,2,,-,8
ASN Behavioural Support,6,13,3,3,-,,1,1,-,-,3,,2,7,-,6,11,,2,1,1,-,2,,5,-,1,3,2,,3,2,2,5,5,,6,2
ASN Learning Difficulties ,17,21,11,2,5,,1,7,5,-,6,,3,9,-,3,8,,3,14,5,-,12,,1,4,5,8,5,,3,10,-,10,8,,-,4
ASN Physical Disabilities,1,2,-,-,1,,-,3,-,-,-,,-,-,-,-,3,,-,1,-,-,1,,-,-,-,-,-,,-,-,-,2,-,,-,-
Hearing Impairment,-,-,-,-,-,,-,1,4,-,-,,-,-,-,-,-,,2,-,4,-,-,,-,7,-,-,-,,-,-,-,5,-,,-,-
Visual Impairment,-,-,-,-,-,,-,-,1,-,-,,-,-,-,-,-,,8,-,-,-,-,,-,-,-,-,-,,-,-,-,6,-,,-,-
Not known/Other,18,14,2,5,-,,6,1,3,6,2,,3,12,1,9,37,,13,4,1,2,4,,5,5,-,14,6,,2,2,-,32,3,,1,3
