Subject,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,Clackmannanshire,,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,,East Renfrewshire,"Edinburgh, City of",Eilean Siar,Falkirk,Fife,,Glasgow City,Highland,Inverclyde,Midlothian,Moray,,North Ayrshire,North Lanarkshire,Orkney Islands,Perth & Kinross,Renfrewshire,,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,,West Dunbartonshire,West Lothian
Economics,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,1,,0,1,0,0,0,,0,0,0,0,0,,0,0,0,1,0,,0,0
Geography,20,39,27,17,9,,26,15,16,21,17,,22,49,6,23,47,,49,52,8,15,16,,25,57,6,22,22,,18,5,16,53,20,,12,25
History,30,37,28,17,8,,27,20,18,31,17,,19,60,8,26,53,,77,52,13,18,14,,24,67,4,23,27,,22,5,14,60,21,,12,31
Religious Education,18,29,7,8,7,,20,20,8,18,14,,20,42,3,26,38,,59,22,12,12,9,,17,45,1,18,27,,11,1,15,39,17,,10,29
Modern Studies,20,31,1,6,6,,18,19,16,15,15,,14,31,0,16,47,,73,13,9,5,8,,7,48,1,13,27,,10,4,16,44,5,,15,19
Media Studies,1,1,0,0,0,,0,0,0,0,0,,1,2,0,1,0,,0,0,0,0,1,,0,2,0,0,0,,0,0,0,0,0,,0,1
Business Education,25,47,15,17,9,,26,25,13,25,20,,25,46,5,22,63,,84,27,16,11,12,,13,60,4,15,31,,14,8,19,65,16,,18,40
Computing,13,20,16,8,6,,8,19,13,21,11,,18,48,2,19,37,,49,9,10,10,7,,21,39,2,20,29,,10,3,15,45,10,,17,24
Home Economics,20,30,25,16,9,,31,30,14,22,13,,23,51,8,29,57,,59,29,12,18,15,,17,58,4,28,22,,16,7,18,51,9,,16,22
Technical Education,28,67,31,23,17,,42,30,37,31,24,,27,64,11,41,94,,100,71,24,25,14,,39,85,8,35,45,,24,8,27,79,25,,23,46
PSE/Guidance,33,61,16,2,6,,0,18,6,4,17,,3,57,3,11,18,,40,35,0,17,28,,20,11,2,24,5,,29,6,20,14,0,,0,10
Art & Design,25,48,25,21,11,,34,29,32,32,20,,27,61,7,31,71,,107,53,16,19,16,,35,82,5,30,41,,23,6,23,63,17,,23,37
Music,26,33,21,20,9,,22,23,23,22,16,,28,46,6,40,53,,79,43,17,20,12,,29,68,7,20,31,,17,5,19,63,20,,20,33
Physical Education,52,79,40,30,17,,57,41,43,46,35,,57,117,10,95,127,,165,86,24,35,25,,44,124,7,48,57,,37,9,35,107,42,,33,76
Drama,16,24,5,6,0,,18,9,3,10,7,,20,37,0,16,45,,59,7,2,3,9,,4,27,2,13,3,,6,0,0,38,1,,1,15
Learning Support ,18,82,21,22,5,,31,49,37,14,16,,20,34,11,56,32,,34,39,9,16,22,,33,38,9,33,17,,7,3,33,37,10,,13,19
ASN general,11,14,5,1,4,,2,1,5,1,0,,0,1,0,1,38,,3,14,1,0,3,,0,1,0,2,3,,0,0,2,5,4,,0,4
ASN Behavioural Support,7,6,2,1,1,,2,2,0,0,3,,2,1,0,1,10,,1,6,2,1,1,,2,0,1,2,1,,6,1,1,2,4,,5,0
ASN Learning Difficulties ,12,13,13,2,3,,0,2,3,0,7,,3,7,0,0,13,,3,21,3,0,6,,2,0,5,1,1,,4,12,1,13,6,,2,0
ASN Physical Disabilities,0,0,0,0,1,,0,0,0,0,0,,0,0,0,0,1,,0,2,0,0,0,,0,0,0,0,0,,0,0,0,1,0,,0,0
Hearing Impairment,0,0,1,0,0,,0,0,6,0,0,,0,0,0,0,0,,3,1,5,0,0,,0,9,0,0,0,,0,0,0,4,0,,0,0
Visual Impairment,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,4,0,0,0,0,,0,0,0,0,0,,0,0,0,4,0,,0,0
Not known/Other,24,9,5,3,0,,2,1,4,5,1,,1,7,1,5,33,,10,26,0,0,4,,8,11,0,2,8,,2,1,3,15,2,,1,5
