Subject,male-Entries,male-percentage,male-1,male-2,male-3,male-4,male-5,female-Entries,female-percentage,female-1,female-2,female-3,female-4,female-5,all-Entries,all-1,all-2,all-3,all-4,all-5,Number of centres
German (Alternative),190,0.320945946,21,38,71,22,20,402,0.679054054,84,68,121,64,36,592,105,106,192,86,56,47
Greek,33,0.55,11,5,8,1,2,27,0.45,13,1,3,6,3,60,24,6,11,7,5,26
Hebrew,1,0.076923077,1,-,-,-,-,12,0.923076923,7,2,3,-,-,13,8,2,3,-,-,3
History (Traditional),1031,0.457003546,165,210,278,142,118,1225,0.542996454,291,246,297,161,114,2256,456,456,575,303,232,113
History (Alternative),5910,0.438037355,909,1073,1797,814,724,7582,0.561962645,1295,1486,2144,999,890,13492,2204,2559,3941,1813,1614,409
Home Economics (Fabric & Fashion),7,0.016666667,1,-,5,-,-,413,0.983333333,40,59,135,67,50,420,41,59,140,67,50,88
Home Economics (Food & Nutrition),561,0.177869372,16,51,165,93,113,2593,0.822130628,335,514,915,296,284,3154,351,565,1080,389,397,246
Horticultural Science,47,0.839285714,12,8,12,8,5,9,0.160714286,5,1,1,2,-,56,17,9,13,10,5,5
Italian (Traditional),148,0.268115942,55,34,29,11,12,404,0.731884058,135,87,92,34,37,552,190,121,121,45,49,97
Italian (Alternative),3,0.136363636,1,-,-,2,-,19,0.863636364,5,4,5,4,-,22,6,4,5,6,-,4
Latin,285,0.426008969,102,79,52,17,15,384,0.573991031,160,95,64,22,19,669,262,174,116,39,34,82
Mathematics,4656,0.478077831,694,794,1347,669,563,5083,0.521922169,690,869,1702,709,597,9739,1384,1663,3049,1378,1160,459
Metalwork,2,1,-,-,2,-,-,-,0,-,-,-,-,-,2,-,-,2,-,-,1
Modern Studies,4288,0.430868167,665,727,1331,623,496,5664,0.569131833,795,914,1732,866,745,9952,1460,1641,3063,1489,1241,373
Music (Traditional),34,0.276422764,7,8,8,4,4,89,0.723577236,15,19,33,6,10,123,22,27,41,10,14,29
Music (Alternative),354,0.26899696,88,67,110,45,25,962,0.73100304,236,217,270,123,71,1316,324,284,380,168,96,217
Navigation,30,0.9375,2,2,6,3,7,2,0.0625,-,1,-,1,-,32,2,3,6,4,7,7
Norwegian,6,0.285714286,3,1,2,-,-,15,0.714285714,4,3,3,2,3,21,7,4,5,2,3,8
Physics,11689,0.662529048,2717,2109,3164,1502,1346,5954,0.337470952,1655,1286,1586,603,521,17643,4372,3395,4750,2105,1867,483
Portuguese,2,0.666666667,2,-,-,-,-,1,0.333333333,1,-,-,-,-,3,3,-,-,-,-,3
Religious Studies,237,0.348017621,18,39,69,28,38,444,0.651982379,59,95,126,47,57,681,77,134,195,75,95,98
Russian (Traditional),36,0.356435644,9,8,9,5,4,65,0.643564356,27,13,14,4,5,101,36,21,23,9,9,23
Russian (Alternative),-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Seamanship and Nautical Knowledge,36,0.947368421,1,3,3,9,8,2,0.052631579,-,-,-,1,-,38,1,3,3,10,8,6
Secretarial Studies (Audio-typewriting),468,0.05326656,34,101,149,66,40,8318,0.94673344,1256,2031,2517,941,740,8786,1290,2132,2666,1007,780,302
Secretarial Studies (Word Processing),222,0.080493111,18,47,64,26,26,2536,0.919506889,388,682,727,256,210,2758,406,729,791,282,236,137
Spanish (Traditional),284,0.288617886,59,62,83,33,25,700,0.711382114,178,144,183,88,65,984,237,206,266,121,90,149
Spanish (Alternative),66,0.335025381,10,13,22,6,9,131,0.664974619,28,29,42,7,15,197,38,42,64,13,24,11
Statistics,331,0.515576324,81,56,96,39,32,311,0.484423676,60,52,86,36,46,642,141,108,182,75,78,74
Swedish,2,0.285714286,2,-,-,-,- ,5,0.714285714,3,-,2,-,-,7,5,-,2,-,-,6
Technical Drawing,6357,0.87141878,691,1113,1597,859,911,938,0.12858122,45,131,258,138,152,7295,736,1244,1855,997,1063,413
Woodwork,1,1,-,-,1,-,-,-,0,-,-,-,-,-,1,-,-,1,-,-,1
