Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-D,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-Passes,all-D,NumberOfCentres
Philosophy,71,44%,25,12,8,45,2,90,56%,40,17,9,66,3,161,65,29,17,111,5,42
Psychology,30,24%,3,4,7,14,2,97,76%,23,22,20,65,7,127,26,26,27,79,9,10
Psychology (New),82,22%,9,20,9,38,6,283,78%,46,63,61,170,24,365,55,83,70,208,30,27
"Religious, Moral and Philosophical Studies",302,38%,44,24,65,133,28,496,62%,47,77,104,228,60,798,91,101,169,361,88,105
Sociology,51,32%,26,3,8,37,2,107,68%,63,11,13,87,1,158,89,14,21,124,3,17
,,,,,,,,,,,,,,,,,,,,,
Administration,938,26%,178,310,210,698,68,"2,640",74%,613,951,571,"2,135",169,"3,578",791,"1,261",781,"2,833",237,344
Automotive Engineering,12,100%,11,1,0,12,0,-,0%,-,-,-,-,-,12,11,1,0,12,0,1
Business Management,838,45%,301,203,171,675,45,"1,034",55%,369,255,226,850,60,"1,872",670,458,397,"1,525",105,240
Care,60,7%,17,14,11,42,4,824,93%,237,138,157,532,63,884,254,152,168,574,67,43
Care Issues for Society,19,11%,2,4,3,9,3,160,89%,23,31,37,91,9,179,25,35,40,100,12,12
Care Issues for Society: Older People,2,8%,0,0,1,1,0,22,92%,4,6,9,19,0,24,4,6,10,20,0,2
Computing,570,72%,146,146,128,420,35,217,28%,94,49,31,174,16,787,240,195,159,594,51,59
Computing (New),964,74%,169,220,250,639,98,343,26%,47,85,75,207,35,"1,307",216,305,325,846,133,134
Construction Craft Skills,23,92%,11,10,2,23,0,2,8%,2,0,0,2,0,25,13,10,2,25,0,2
Construction Industry Practice,47,96%,2,15,19,36,0,2,4%,1,1,0,2,0,49,3,16,19,38,0,4
Creative Cake Production,31,15%,19,9,3,31,0,174,85%,139,22,6,167,0,205,158,31,9,198,0,28
Design,1,20%,0,0,1,1,0,4,80%,0,0,3,3,1,5,0,0,4,4,1,1
Electrical Installation Fundamentals,31,100%,6,6,8,20,0,-,0%,-,-,-,-,-,31,6,6,8,20,0,2
Electronic and Electrical Fundamentals,85,100%,17,17,23,57,0,-,0%,-,-,-,-,-,85,17,17,23,57,0,4
Engineering Craft Skills,291,95%,100,93,79,272,3,16,5%,4,9,3,16,0,307,104,102,82,288,3,43
Fabrication and Welding,4,100%,2,1,1,4,0,-,0%,-,-,-,-,-,4,2,1,1,4,0,1
Graphic Communication,879,72%,339,233,158,730,37,348,28%,146,75,61,282,24,"1,227",485,308,219,"1,012",61,226
Health and Safety in Care Settings,13,7%,3,3,3,9,3,168,93%,19,43,54,116,16,181,22,46,57,125,19,8
Home Economics: Fashion and Textile Technology,4,4%,0,0,2,2,0,95,96%,8,8,23,39,16,99,8,8,25,41,16,16
Home Economics: Health and Food Technology,36,15%,1,2,10,13,4,210,85%,1,18,68,87,38,246,2,20,78,100,42,63
Home Economics: Lifestyle and Consumer Technology,4,4%,0,0,3,3,0,90,96%,2,9,18,29,17,94,2,9,21,32,17,21
Hospitality - General Operations,103,46%,9,36,16,61,2,120,54%,17,52,12,81,1,223,26,88,28,142,3,13
Hospitality - Practical Cookery,901,26%,374,304,140,818,36,"2,500",74%,"1,407",765,250,"2,422",29,"3,401","1,781","1,069",390,"3,240",65,287
Hospitality - Professional Cookery,123,57%,27,33,38,98,11,92,43%,39,32,10,81,4,215,66,65,48,179,15,10
Information Systems,"1,727",65%,494,456,362,"1,312",105,910,35%,345,240,171,756,50,"2,637",839,696,533,"2,068",155,213
Personal and Social Education,28,38%,0,8,4,12,6,45,62%,3,12,7,22,10,73,3,20,11,34,16,12
Product Design,523,80%,129,135,90,354,38,131,20%,48,30,22,100,6,654,177,165,112,454,44,166
Selling Overseas Tourist Destinations,14,19%,1,6,3,10,1,60,81%,20,8,15,43,1,74,21,14,18,53,2,5
Technological Studies,218,97%,63,42,43,148,12,6,3%,3,1,1,5,0,224,66,43,44,153,12,32
Travel and Tourism,174,29%,22,24,47,93,20,430,71%,78,94,104,276,23,604,100,118,151,369,43,63
Woodworking Skills,"2,146",86%,833,784,451,"2,068",6,354,14%,145,120,73,338,2,"2,500",978,904,524,"2,406",8,267
,,,,,,,,,,,,,,,,,,,,,
Art and Design,"1,308",35%,618,360,199,"1,177",35,"2,426",65%,"1,440",642,221,"2,303",38,"3,734","2,058","1,002",420,"3,480",73,361
Drama,241,33%,62,74,64,200,11,498,67%,162,162,99,423,32,739,224,236,163,623,43,76
Media Studies,318,49%,32,43,67,142,32,330,51%,67,76,68,211,29,648,99,119,135,353,61,65
Music,"1,077",47%,420,309,234,963,37,"1,227",53%,494,392,241,"1,127",31,"2,304",914,701,475,"2,090",68,280
,,,,,,,,,,,,,,,,,,,,,
Fitness and Exercise,25,81%,8,8,2,18,0,6,19%,4,0,0,4,0,31,12,8,2,22,0,4
Leading Sports Activities,11,85%,2,5,0,7,0,2,15%,0,1,0,1,0,13,2,6,0,8,0,1
Physical Education,"1,898",72%,742,640,278,"1,660",44,720,28%,294,215,128,637,22,"2,618","1,036",855,406,"2,297",66,328
