Subject,male-Entries,male-percentage,male-1,male-2,male-3,male-4,male-5,male-6,male-7,female-Entries,female-percentage,female-1,female-2,female-3,female-4,female-5,female-6,female-7,all-Entries,all-1,all-2,all-3,all-4,all-5,all-6,all-7,NumberOfCentres
Economics,26,60%,2,8,2,2,5,5,2,17,40%,0,3,3,2,5,3,1,43,2,11,5,4,10,8,3,3
Geography,"8,932",56%,"2,175","2,179","1,658","1,178","1,126",497,118,"7,034",44%,"2,364","1,692","1,099",680,682,427,90,"15,966","4,539","3,871","2,757","1,858","1,808",924,208,341
History,"9,812",50%,"2,103","2,484","1,707","1,482","1,342",492,200,"9,673",50%,"3,092","2,595","1,696","1,080",853,243,112,"19,485","5,195","5,079","3,403","2,562","2,195",735,312,334
Modern Studies,"6,002",45%,"1,551","1,111","1,336","1,014",806,155,28,"7,215",55%,"2,150","1,515","1,692","1,040",637,157,24,"13,217","3,701","2,626","3,028","2,054","1,443",312,52,271
Religious Studies,552,35%,63,97,84,100,91,72,21,"1,017",65%,241,263,141,162,99,71,10,"1,569",304,360,225,262,190,143,31,70
Social & Vocational Skills,"1,048",49%,131,220,304,257,84,6,0,"1,108",51%,296,327,248,146,36,3,0,"2,156",427,547,552,403,120,9,0,85
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Administration,"1,533",29%,96,319,272,394,257,143,15,"3,807",71%,566,"1,080",727,775,423,156,28,"5,340",662,"1,399",999,"1,169",680,299,43,193
Business Management,"2,738",49%,876,720,625,333,126,24,1,"2,888",51%,"1,087",740,612,272,111,26,3,"5,626","1,963","1,460","1,237",605,237,50,4,184
Computing Studies,"7,493",67%,"1,546","1,975","1,681","1,408",714,113,8,"3,633",33%,947,942,762,579,306,70,2,"11,126","2,493","2,917","2,443","1,987","1,020",183,10,268
Craft & Design,"8,337",77%,"1,193","2,406","2,280","1,576",615,130,8,"2,525",23%,569,680,582,459,137,32,1,"10,862","1,762","3,086","2,862","2,035",752,162,9,322
Graphic Communication,"5,026",66%,862,"1,501","1,179",894,427,97,8,"2,627",34%,677,863,532,343,152,22,4,"7,653","1,539","2,364","1,711","1,237",579,119,12,262
Home Economics,"1,067",23%,69,256,341,288,90,11,1,"3,497",77%,626,"1,449",931,375,68,9,0,"4,564",695,"1,705","1,272",663,158,20,1,183
Technological Studies,"1,306",94%,452,312,249,175,79,29,4,89,6%,34,20,19,8,3,4,0,"1,395",486,332,268,183,82,33,4,83
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art and Design,"3,382",30%,253,958,"1,353",655,123,8,0,"7,878",70%,"1,384","3,085","2,566",669,99,6,0,"11,260","1,637","4,043","3,919","1,324",222,14,0,232
Drama,"2,147",36%,402,588,573,377,138,15,3,"3,861",64%,"1,280","1,215",838,361,100,16,1,"6,008","1,682","1,803","1,411",738,238,31,4,167
Music,"4,102",44%,"1,545","1,350",665,327,145,18,1,"5,121",56%,"2,371","1,643",712,260,73,5,0,"9,223","3,916","2,993","1,377",587,218,23,1,284
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Education,"11,033",70%,"2,937","4,024","2,743","1,015",173,11,1,"4,819",30%,"1,155","1,693","1,223",552,143,13,0,"15,852","4,092","5,717","3,966","1,567",316,24,1,305
