Subject,all-Entries,male-entries,female-entries,male-level2,female-level2,male-level3,female-level3,male-level4,female-level4,male-level5,female-level5,male-level6,female-level6
Sports Coaching: Boccia (Level 1),6,2,4,,,,,2,4,,,,
Sports Coaching: Coaching Diving (Level 1),5,2,3,,,,,2,3,,,,
Sports Coaching: Coaching Diving (Level 2),6,3,3,,,,,,,3,3,,
Sports Coaching: Coaching Swimming (Level 1),36,14,22,,,,,14,22,,,,
Sports Coaching: Coaching Swimming (Level 2),30,13,17,,,,,,,13,17,,
Sports Coaching: Coaching Swimming (Level 3),11,6,5,,,,,,,,,6,5
Sports Coaching: Coaching Water Polo (Level 2),1,0,1,,,,,,,0,1,,
Sports Coaching: Curling (Level 1),3,1,2,,,,,1,2,,,,
Sports Coaching: Curling (Level 2),1,0,1,,,,,,,0,1,,
Sports Coaching: Equestrian Generic (Level 1),5,0,5,,,,,0,5,,,,
Sports Coaching: Equestrian Generic (Level 2),1,1,0,,,,,,,1,0,,
Sports Coaching: Gymnastics Acrobatic (Level 2),1,0,1,,,,,,,0,1,,
Sports Coaching: Gymnastics Men's Artistic (Level 1),2,1,1,,,,,1,1,,,,
Sports Coaching: Gymnastics Men's Artistic (Level 2),1,1,0,,,,,,,1,,,
Sports Coaching: Gymnastics Trampolining (Level 1),2,0,2,,,,,0,2,,,,
Sports Coaching: Gymnastics Women's Artistic (Level 2),5,0,5,,,,,,,,5,,
Sports Coaching: Hockey (Level 2),1,1,0,,,,,,,1,,,
Sports Coaching: Netball (Level 1),9,0,9,,,,,0,9,,,,
Sports Coaching: Netball (Level 2),8,0,8,,,,,,,,8,,
Sports Coaching: Orienteering (Level 2),2,1,1,,,,,,,1,1,,
Sports Coaching: Rugby Union (Level 3),11,11,0,,,,,,,,,11,0
Sports Coaching: Teaching Aquatics (Level 1),5,0,5,,,,,0,5,,,,
Sports Coaching: Teaching Aquatics (Level 2),1,0,1,,,,,,,,1,,
Sports Coaching: Team Gymnastics (Level 2),2,0,2,,,,,,,0,2,,
Sports Coaching: Tennis (Level 1),82,51,31,,,,,51,31,,,,
Sports Coaching: Tennis (Level 2),34,16,18,,,,,,,16,18,,
Sports Coaching: Triathlon (Level 1),13,6,7,,,,,6,7,,,,
Sports Coaching: Triathlon (Level 2),3,2,1,,,,,,,2,1,,
Sports Development,560,342,218,,,,,,,,,342,218
Technical Theatre in Practice,43,18,25,,,,,,,,,18,25
Television Production,9,7,2,,,,,,,7,2,,
Tenancy and Citizenship,5,3,2,,,,,3,2,,,,
Visual Communications,33,6,27,,,,,,,6,27,,
Web Design,175,149,26,,,,,,,149,26,,
Web Design Fundamentals,4,3,1,,,,,,,3,1,,
Zoo Animal Behaviour and Welfare,10,2,8,,,,,,,,,2,8
