Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-Comp,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-Comp,all-Entries,all-A,all-B,all-C,all-Passes,all-Comp,NumberOfCentres
Construction Industry Practice,24,96%,1,3,10,14,n/a,1,4%,0,0,1,1,n/a,25,1,3,11,15,n/a,5
Craft and Design,632,80%,153,135,120,408,n/a,159,20%,51,34,27,112,n/a,791,204,169,147,520,n/a,184
Design,2,40%,0,1,1,2,n/a,3,60%,1,2,0,3,n/a,5,1,3,1,5,n/a,1
Electronic and Electrical Fundamentals,98,99%,25,13,20,58,n/a,1,1%,0,0,1,1,n/a,99,25,13,21,59,n/a,7
Engineering Craft Skills,189,95%,47,76,64,187,0,10,5%,5,3,2,10,0,199,52,79,66,197,0,32
Fabrication and Welding,5,100%,2,2,0,4,n/a,-,0%,-,-,-,-,-,5,2,2,0,4,n/a,1
Graphic Communication,782,74%,152,183,179,514,n/a,279,26%,63,77,61,201,n/a,"1,061",215,260,240,715,n/a,217
Health and Safety in Care Settings,14,9%,2,3,4,9,n/a,142,91%,31,36,25,92,n/a,156,33,39,29,101,n/a,10
Home Economics - Fashion and Textile Technology,2,2%,0,0,1,1,0,111,98%,5,20,39,64,19,113,5,20,40,65,19,16
Home Economics - Health and Food Technology,28,12%,0,2,11,13,1,211,88%,6,38,81,125,24,239,6,40,92,138,25,77
Home Economics - Lifestyle and Consumer Technology,11,13%,1,1,3,5,1,77,88%,6,16,20,42,10,88,7,17,23,47,11,21
Hospitality - General Operations,107,48%,19,50,10,79,n/a,117,52%,39,44,8,91,n/a,224,58,94,18,170,n/a,18
Hospitality - Practical Cookery,661,25%,273,216,104,593,19,"2,015",75%,"1,168",562,188,"1,918",23,"2,676","1,441",778,292,"2,511",42,269
Hospitality - Professional Cookery,150,54%,31,54,32,117,n/a,130,46%,43,41,30,114,n/a,280,74,95,62,231,n/a,16
Hospitality - Reception and Accommodation Operations,3,27%,0,0,0,0,n/a,8,73%,1,3,2,6,n/a,11,1,3,2,6,n/a,1
Information Systems,"2,280",66%,686,605,435,"1,726",n/a,"1,173",34%,363,334,221,918,n/a,"3,453","1,049",939,656,"2,644",n/a,265
Personal and Social Education,17,33%,0,2,2,4,1,35,67%,7,10,4,21,2,52,7,12,6,25,3,7
Selling Overseas Tourist Destinations,11,14%,1,4,4,9,n/a,66,86%,17,18,10,45,n/a,77,18,22,14,54,n/a,7
Technological Studies,324,96%,81,69,60,210,n/a,13,4%,3,2,5,10,n/a,337,84,71,65,220,n/a,54
Travel and Tourism,182,27%,21,37,38,96,14,489,73%,63,110,125,298,34,671,84,147,163,394,48,70
Woodworking Skills,"1,817",83%,703,665,370,"1,738",5,373,17%,172,119,70,361,4,"2,190",875,784,440,"2,099",9,246
,,,,,,,,,,,,,,,,,,,,,
Art and Design,"1,058",42%,329,335,234,898,41,"1,445",58%,496,472,305,"1,273",53,"2,503",825,807,539,"2,171",94,334
Drama,207,36%,80,64,36,180,12,363,64%,163,97,64,324,15,570,243,161,100,504,27,71
Media Studies,259,47%,18,36,64,118,21,294,53%,35,56,75,166,35,553,53,92,139,284,56,57
Music,586,46%,171,196,125,492,29,687,54%,203,221,179,603,34,"1,273",374,417,304,"1,095",63,246
,,,,,,,,,,,,,,,,,,,,,
Fitness and Exercise,16,76%,7,3,1,11,n/a,5,24%,1,4,0,5,n/a,21,8,7,1,16,n/a,3
Leading Sports Activities,5,56%,1,4,0,5,n/a,4,44%,2,2,0,4,n/a,9,3,6,0,9,n/a,1
Physical Education,"1,498",77%,537,547,177,"1,261",24,459,23%,172,141,83,396,10,"1,957",709,688,260,"1,657",34,313
