Subject,all-Entries,all-Pass,all-A,all-B,all-C,all-D,all-PassesInUngradedCourses,male-Entries,male-A,male-B,male-C,male-Pass,male-D,male-PassesInUngradedCourses,female-Entries,female-A,female-B,female-C,female-Pass,female-D,female-PassesInUngradedCourses,NumberOfCentres
Care,388,310,151,82,77,11,-,38,21,8,3,32,0,-,350,130,74,74,278,11,-,27
Computing Studies,"1,681","1,419",537,537,345,88,-,"1,133",364,363,231,958,56,-,548,173,174,114,461,32,-,135
Construction Crafts,"1,626","1,063",-,-,-,-,"1,063","1,568",-,-,-,"1,030",-,"1,030",58,-,-,-,33,-,33,45
Early Education and Childcare,"1,471","1,089",-,-,-,-,"1,089",44,-,-,-,26,-,26,"1,427",-,-,-,"1,063",-,"1,063",42
Engineering Craft Skills,241,212,82,72,58,4,-,224,81,64,56,201,4,-,17,1,8,2,11,0,-,38
Engineering Skills,572,395,-,-,-,-,395,558,-,-,-,383,-,383,14,-,-,-,12,-,12,25
Graphic Communication,628,392,86,162,144,70,-,484,66,121,109,296,52,-,144,20,41,35,96,18,-,87
Hairdressing,"1,172",917,-,-,-,-,917,8,-,-,-,3,-,3,"1,164",-,-,-,914,-,914,29
Health Sector,125,95,-,-,-,-,95,18,-,-,-,15,-,15,107,-,-,-,80,-,80,8
Home Economics: Fashion and Textile Technology,484,437,194,179,64,17,-,10,3,3,2,8,0,-,474,191,176,62,429,17,-,45
Home Economics: Health and Food Technology,441,412,241,142,29,4,-,170,76,64,14,154,4,-,271,165,78,15,258,0,-,31
Home Economics: Lifestyle and Consumer Technology,676,648,334,249,65,10,-,35,9,15,7,31,0,-,641,325,234,58,617,10,-,53
Hospitality,279,176,-,-,-,-,176,111,-,-,-,66,-,66,168,-,-,-,110,-,110,20
Hospitality: Practical Cookery,"6,474","5,851","1,931","2,697","1,223",268,-,"2,529",512,"1,090",601,"2,203",144,-,"3,945","1,419","1,607",622,"3,648",124,-,288
Personal Development,421,311,-,-,-,-,311,225,-,-,-,156,-,156,196,-,-,-,155,-,155,38
Rural Skills,446,313,-,-,-,-,313,342,-,-,-,236,-,236,104,-,-,-,77,-,77,30
Travel and Tourism,835,748,434,166,148,15,-,355,181,74,59,314,6,-,480,253,92,89,434,9,-,83
Uniformed and Emergency Services,244,154,-,-,-,-,154,176,-,-,-,107,-,107,68,-,-,-,47,-,47,15
Woodworking Skills,"1,850","1,675",520,594,561,32,-,"1,570",440,503,482,"1,425",28,-,280,80,91,79,250,4,-,180
,,,,,,,,,,,,,,,,,,,,,,
Art and Design,"3,683","3,449","2,148",841,460,113,-,"1,483",779,351,229,"1,359",55,-,"2,200","1,369",490,231,"2,090",58,-,232
Creative Digital Media,126,92,-,-,-,-,92,87,-,-,-,67,-,67,39,-,-,-,25,-,25,11
Drama,254,225,127,62,36,8,-,117,55,30,17,102,0,-,137,72,32,19,123,8,-,38
Media Studies,617,383,112,121,150,53,-,335,48,62,83,193,27,-,282,64,59,67,190,26,-,69
Music,825,635,148,265,222,54,-,410,65,136,112,313,27,-,415,83,129,110,322,27,-,117
,,,,,,,,,,,,,,,,,,,,,,
Physical Education,"1,752","1,621","1,055",412,154,25,-,"1,225",753,286,99,"1,138",16,-,527,302,126,55,483,9,-,113
Sport and Recreation,328,233,-,-,-,-,233,244,-,-,-,175,-,175,84,-,-,-,58,-,58,24
,,,,,,,,,,,,,,,,,,,,,,
