Subject,male-Entries,male-percentage,male-1,male-2,male-3,male-4,male-5,male-6,male-7,female-Entries,female-percentage,female-1,female-2,female-3,female-4,female-5,female-6,female-7,all-Entries,all-1,all-2,all-3,all-4,all-5,all-6,all-7,NumberOfCentres
History,"10,018",50%,"2,174","2,666","1,736","1,304","1,727",290,118,"10,047",50%,"2,914","2,837","1,679","1,135","1,202",188,89,"20,065","5,088","5,503","3,415","2,439","2,929",478,207,339
Modern Studies,"5,504",42%,"1,198","1,076","1,062","1,028",854,198,83,"7,627",58%,"2,030","1,768","1,371","1,281",913,203,57,"13,131","3,228","2,844","2,433","2,309","1,767",401,140,278
Religious Studies,381,32%,42,70,61,88,57,39,9,819,68%,163,212,140,152,97,31,2,"1,200",205,282,201,240,154,70,11,66
Social & Vocational Skills,"1,335",49%,171,290,405,297,113,22,1,"1,400",51%,340,399,342,201,64,8,0,"2,735",511,689,747,498,177,30,1,114
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Administration,"2,199",27%,220,512,391,462,347,210,29,"6,007",73%,"1,203","1,599","1,087",970,655,352,60,"8,206","1,423","2,111","1,478","1,432","1,002",562,89,249
Business Management,"2,727",49%,829,750,625,307,148,32,0,"2,855",51%,975,751,590,325,146,23,2,"5,582","1,804","1,501","1,215",632,294,55,2,198
Computing Studies,"8,663",64%,"2,175","2,106","1,724","1,535",902,126,11,"4,923",36%,"1,285","1,223",996,817,465,61,4,"13,586","3,460","3,329","2,720","2,352","1,367",187,15,303
Craft & Design,"9,625",76%,"1,370","2,507","2,742","1,906",723,160,9,"3,007",24%,602,830,750,449,197,43,2,"12,632","1,972","3,337","3,492","2,355",920,203,11,333
Graphic Communication,"6,219",68%,"1,061","1,831","1,418","1,081",589,133,4,"2,988",32%,790,994,548,415,148,36,0,"9,207","1,851","2,825","1,966","1,496",737,169,4,307
Home Economics,"1,372",22%,68,224,442,387,165,25,2,"4,903",78%,781,"1,505","1,389",855,219,23,0,"6,275",849,"1,729","1,831","1,242",384,48,2,232
Technological Studies,"1,267",93%,461,346,249,126,33,33,11,97,7%,34,25,26,6,3,1,1,"1,364",495,371,275,132,36,34,12,91
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art and Design,"4,376",33%,426,"1,299","1,631",812,117,7,0,"8,905",67%,"1,670","3,597","2,756",670,92,5,0,"13,281","2,096","4,896","4,387","1,482",209,12,0,270
Drama,"2,220",35%,384,603,565,421,161,36,0,"4,034",65%,"1,126","1,307",863,465,155,41,3,"6,254","1,510","1,910","1,428",886,316,77,3,168
Music,"4,088",46%,"1,401","1,305",744,364,152,32,0,"4,790",54%,"1,896","1,691",687,290,100,18,1,"8,878","3,297","2,996","1,431",654,252,50,1,291
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Education,"11,582",68%,"2,549","4,087","3,265","1,260",233,22,3,"5,452",32%,"1,058","1,859","1,498",761,179,18,1,"17,034","3,607","5,946","4,763","2,021",412,40,4,334
