Subject,male-Entries,male-percentage,male-1,male-2,male-3,male-4,male-5,male-6,male-7,female-Entries,female-percentage,female-1,female-2,female-3,female-4,female-5,female-6,female-7,all-Entries,all-1,all-2,all-3,all-4,all-5,all-6,all-7,NumberOfCentres
Business Management,"2,803",49%,690,799,576,402,185,85,7,"2,895",51%,779,791,561,428,206,71,7,"5,698","1,469","1,590","1,137",830,391,156,14,202
Computing Studies,"11,102",64%,"2,289","2,622","2,240","2,042","1,344",279,24,"6,135",36%,"1,387","1,475","1,244","1,087",646,145,7,"17,237","3,676","4,097","3,484","3,129","1,990",424,31,352
Craft and Design,"10,774",77%,"1,082","2,454","2,853","2,430","1,240",289,16,"3,281",23%,504,794,819,622,317,79,6,"14,055","1,586","3,248","3,672","3,052","1,557",368,22,365
Graphic Communication,"6,548",68%,986,"1,790","1,458","1,289",638,182,11,"3,014",32%,677,963,638,450,163,39,3,"9,562","1,663","2,753","2,096","1,739",801,221,14,342
Home Economics,"1,565",20%,53,218,444,434,267,56,0,"6,217",80%,654,"1,758","1,875","1,249",416,58,0,"7,782",707,"1,976","2,319","1,683",683,114,0,304
Technological Studies,"1,806",94%,536,443,344,248,107,84,18,115,6%,43,27,16,18,3,3,0,"1,921",579,470,360,266,110,87,18,120
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art and Design,"6,969",36%,617,"1,930","2,549","1,240",330,28,0,"12,543",64%,"2,271","4,640","3,926","1,116",239,18,0,"19,512","2,888","6,570","6,475","2,356",569,46,0,378
Drama,"1,832",32%,202,476,504,347,165,47,1,"3,827",68%,851,"1,267",903,477,166,34,0,"5,659","1,053","1,743","1,407",824,331,81,1,155
Music,"4,488",44%,"1,475","1,355",787,452,209,47,0,"5,741",56%,"2,316","1,831",910,370,129,31,0,"10,229","3,791","3,186","1,697",822,338,78,0,332
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Education,"12,204",69%,"1,660","4,144","3,743","1,862",431,48,3,"5,360",31%,664,"1,540","1,602","1,049",349,42,2,"17,564","2,324","5,684","5,345","2,911",780,90,5,375
