Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-D,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-Passes,all-D,NumberOfCentres
Hospitality - Food and Drink Service,4,57%,0,0,1,1,0,3,43%,0,3,0,3,0,7,0,3,1,4,0,1
Hospitality - Professional Cookery,32,48%,8,6,7,21,2,34,52%,14,8,1,23,1,66,22,14,8,44,3,5
Hospitality - Reception and Accommodation Operations,2,40%,0,0,0,0,1,3,60%,0,1,1,2,1,5,0,1,1,2,2,1
Hospitality Event Supervision,-,0%,-,-,-,-,-,2,100%,1,1,0,2,0,2,1,1,0,2,0,1
Information Systems,"1,866",66%,196,472,557,"1,225",234,967,34%,136,283,275,694,112,"2,833",332,755,832,"1,919",346,187
Manufacturing,2,100%,0,0,0,0,0,-,0%,-,-,-,-,-,2,0,0,0,0,0,1
Mechatronics,13,81%,2,1,4,7,0,3,19%,1,0,0,1,0,16,3,1,4,8,0,3
Mental Health Care,34,14%,8,8,10,26,5,213,86%,45,63,65,173,13,247,53,71,75,199,18,13
Personal and Social Education,20,20%,3,4,7,14,0,80,80%,19,25,19,63,6,100,22,29,26,77,6,14
Professional Patisserie,34,52%,3,13,9,25,1,32,48%,9,12,5,26,2,66,12,25,14,51,3,5
Retail Travel,6,15%,2,0,1,3,1,34,85%,10,8,10,28,1,40,12,8,11,31,2,4
Selling Scheduled Air Travel,5,17%,1,1,3,5,0,25,83%,8,9,3,20,3,30,9,10,6,25,3,2
Structural Engineering,11,100%,4,1,3,8,0,-,0%,-,-,-,-,-,11,4,1,3,8,0,2
Technological Studies,845,95%,239,189,171,599,62,43,5%,13,7,9,29,4,888,252,196,180,628,66,106
Tourism,13,20%,0,2,3,5,1,53,80%,3,1,8,12,5,66,3,3,11,17,6,8
,,,,,,,,,,,,,,,,,,,,,
"Advertising, Marketing and Public Relations",2,29%,0,2,0,2,0,5,71%,0,1,1,2,0,7,0,3,1,4,0,1
Art and Design,"1,993",29%,328,492,663,"1,483",224,"4,902",71%,"1,069","1,527","1,503","4,099",385,"6,895","1,397","2,019","2,166","5,582",609,412
Drama,523,27%,44,183,170,397,69,"1,389",73%,193,496,450,"1,139",138,"1,912",237,679,620,"1,536",207,174
Media Studies,364,44%,41,67,82,190,49,463,56%,80,97,120,297,42,827,121,164,202,487,91,65
Music,"1,602",42%,739,511,236,"1,486",40,"2,227",58%,"1,020",679,393,"2,092",54,"3,829","1,759","1,190",629,"3,578",94,393
Photography for the Media,45,39%,7,20,15,42,1,70,61%,13,21,28,62,3,115,20,41,43,104,4,8
Visual Arts,2,15%,0,0,0,0,0,11,85%,0,2,3,5,0,13,0,2,3,5,0,2
,,,,,,,,,,,,,,,,,,,,,
Dance Practice,4,6%,0,0,1,1,0,58,94%,1,15,17,33,2,62,1,15,18,34,2,4
Fitness and Exercise,29,67%,2,8,6,16,2,14,33%,2,5,4,11,0,43,4,13,10,27,2,3
Physical Education,"2,895",72%,670,932,794,"2,396",216,"1,101",28%,308,294,276,878,86,"3,996",978,"1,226","1,070","3,274",302,356
Sports Coaching Studies,30,67%,11,9,2,22,0,15,33%,11,2,0,13,0,45,22,11,2,35,0,3
Sports Organisation,1,20%,1,0,0,1,0,4,80%,3,0,0,3,1,5,4,0,0,4,1,1
