Subject,male-Entries,male-percentage,male-1,male-2,male-3,male-4,male-5,male-6,male-7,female-Entries,female-percentage,female-1,female-2,female-3,female-4,female-5,female-6,female-7,all-Entries,all-1,all-2,all-3,all-4,all-5,all-6,all-7,NumberOfCentres
History,"9,733",50%,"2,387","2,234","1,839","1,370","1,223",484,190,"9,627",50%,"3,110","2,377","1,846","1,140",760,283,108,"19,360","5,497","4,611","3,685","2,510","1,983",767,298,332
Modern Studies,"5,917",44%,"1,395","1,099","1,192","1,073",889,223,44,"7,420",56%,"2,093","1,533","1,538","1,232",759,222,42,"13,337","3,488","2,632","2,730","2,305","1,648",445,86,269
Religious Studies,637,37%,72,109,103,122,97,73,32,"1,070",63%,186,276,216,181,91,60,17,"1,707",258,385,319,303,188,133,49,77
Social & Vocational Skills,"1,260",48%,153,298,362,271,122,14,0,"1,350",52%,342,385,339,182,51,7,0,"2,610",495,683,701,453,173,21,0,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Administration,"1,471",25%,79,291,249,350,293,156,18,"4,423",75%,588,"1,247",891,848,494,239,45,"5,894",667,"1,538","1,140","1,198",787,395,63,205
Business Management,"2,610",49%,736,653,529,402,199,41,1,"2,692",51%,880,636,492,382,212,43,4,"5,302","1,616","1,289","1,021",784,411,84,5,187
Computing Studies,"7,742",66%,"1,569","1,854","1,756","1,493",810,171,17,"3,918",34%,856,988,989,629,334,80,5,"11,660","2,425","2,842","2,745","2,122","1,144",251,22,286
Craft & Design,"8,646",77%,"1,154","2,461","2,324","1,610",713,166,9,"2,543",23%,494,709,621,411,174,33,4,"11,189","1,648","3,170","2,945","2,021",887,199,13,327
Graphic Communication,"5,647",67%,910,"1,778","1,538",901,357,91,6,"2,795",33%,648,995,642,360,97,15,0,"8,442","1,558","2,773","2,180","1,261",454,106,6,282
Home Economics,"1,191",23%,94,249,374,348,82,13,0,"3,912",77%,805,"1,343","1,080",486,117,13,1,"5,103",899,"1,592","1,454",834,199,26,1,204
Technological Studies,"1,247",94%,374,361,251,140,67,40,7,85,6%,31,30,13,2,6,1,1,"1,332",405,391,264,142,73,41,8,89
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art and Design,"3,458",31%,253,902,"1,388",702,128,7,0,"7,835",69%,"1,377","3,141","2,454",692,87,2,0,"11,293","1,630","4,043","3,842","1,394",215,9,0,240
Drama,"2,250",34%,437,597,543,434,157,36,1,"4,304",66%,"1,442","1,254",883,473,160,23,0,"6,554","1,879","1,851","1,426",907,317,59,1,167
Music,"4,253",46%,"1,644","1,364",689,335,130,24,0,"4,928",54%,"2,204","1,581",705,263,86,18,0,"9,181","3,848","2,945","1,394",598,216,42,0,286
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Education,"11,063",69%,"2,824","3,988","2,754","1,146",170,13,2,"5,031",31%,"1,007","1,796","1,379",632,131,16,0,"16,094","3,831","5,784","4,133","1,778",301,29,2,316
