Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-D,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-Passes,all-D,NumberOfCentres
,,,,,,,,,,,,,,,,,,,,,
Administration,991,28%,166,331,270,767,63,"2,507",72%,479,810,682,"1,971",178,"3,498",645,"1,141",952,"2,738",241,342
Automotive Engineering,18,100%,18,0,0,18,0,-,0%,-,-,-,-,-,18,18,0,0,18,0,1
Business Management,764,45%,153,179,179,511,59,937,55%,265,221,186,672,63,"1,701",418,400,365,"1,183",122,226
Care,42,6%,19,4,7,30,2,706,94%,294,122,91,507,33,748,313,126,98,537,35,40
Care Issues for Society,17,5%,1,3,6,10,1,305,95%,29,68,95,192,22,322,30,71,101,202,23,14
Computing,"1,598",74%,286,326,359,971,156,555,26%,107,123,125,355,53,"2,153",393,449,484,"1,326",209,182
Construction Craft Skills,17,100%,5,5,5,15,0,-,0%,-,-,-,-,-,17,5,5,5,15,0,2
Construction Industry Practice,39,100%,7,0,3,10,2,-,0%,-,-,-,-,-,39,7,0,3,10,2,4
Craft and Design,681,82%,218,147,106,471,23,148,18%,72,24,23,119,5,829,290,171,129,590,28,191
Creative Cake Production,25,17%,13,8,1,22,1,126,83%,106,12,1,119,0,151,119,20,2,141,1,22
Design,3,75%,2,1,0,3,0,1,25%,1,0,0,1,0,4,3,1,0,4,0,1
Electrical Installation Fundamentals,26,100%,2,8,11,21,1,-,0%,-,-,-,-,-,26,2,8,11,21,1,3
Electronic and Electrical Fundamentals,94,96%,37,18,9,64,4,4,4%,2,1,0,3,0,98,39,19,9,67,4,7
Engineering Craft Skills,242,91%,62,100,67,229,0,23,9%,7,12,3,22,0,265,69,112,70,251,0,40
Fabrication and Welding,7,100%,2,2,0,4,1,-,0%,-,-,-,-,-,7,2,2,0,4,1,1
Graphic Communication,841,74%,282,225,143,650,48,296,26%,89,73,66,228,23,"1,137",371,298,209,878,71,230
Health and Safety in Care Settings,12,10%,1,4,3,8,2,108,90%,31,26,27,84,4,120,32,30,30,92,6,9
Home Economics: Fashion and Textile Technology,1,1%,0,0,0,0,0,113,99%,7,20,28,55,21,114,7,20,28,55,21,19
Home Economics: Health and Food Technology,31,15%,0,1,8,9,6,181,85%,2,27,46,75,29,212,2,28,54,84,35,66
Home Economics: Lifestyle and Consumer Technology,13,9%,3,0,3,6,4,135,91%,21,25,33,79,18,148,24,25,36,85,22,26
Hospitality - General Operations,86,48%,26,25,7,58,1,92,52%,52,28,2,82,0,178,78,53,9,140,1,12
Hospitality - Practical Cookery,712,25%,178,234,176,588,48,"2,124",75%,935,727,295,"1,957",46,"2,836","1,113",961,471,"2,545",94,277
Hospitality - Professional Cookery,125,57%,25,41,26,92,8,94,43%,36,34,12,82,3,219,61,75,38,174,11,9
Information Systems,"2,132",67%,570,591,472,"1,633",111,"1,059",33%,382,259,202,843,61,"3,191",952,850,674,"2,476",172,251
Personal and Social Education,31,45%,7,6,6,19,1,38,55%,6,8,9,23,1,69,13,14,15,42,2,13
Selling Overseas Tourist Destinations,11,15%,1,3,2,6,2,61,85%,12,16,14,42,5,72,13,19,16,48,7,6
Technological Studies,240,97%,71,37,58,166,19,7,3%,4,0,3,7,0,247,75,37,61,173,19,36
Travel and Tourism,206,30%,36,57,41,134,13,475,70%,128,108,96,332,31,681,164,165,137,466,44,72
Woodworking Skills,"1,976",84%,748,728,415,"1,891",1,388,16%,163,132,79,374,0,"2,364",911,860,494,"2,265",1,257
,,,,,,,,,,,,,,,,,,,,,
Art and Design,"1,203",37%,429,352,244,"1,025",76,"2,062",63%,943,588,358,"1,889",70,"3,265","1,372",940,602,"2,914",146,347
Drama,217,32%,53,76,50,179,14,454,68%,175,124,98,397,24,671,228,200,148,576,38,74
Media Studies,269,46%,19,43,39,101,26,310,54%,40,58,71,169,31,579,59,101,110,270,57,54
Music,857,45%,321,276,144,741,26,"1,028",55%,426,312,188,926,35,"1,885",747,588,332,"1,667",61,267
,,,,,,,,,,,,,,,,,,,,,
Fitness and Exercise,19,48%,8,5,4,17,1,21,53%,8,7,2,17,1,40,16,12,6,34,2,5
Leading Sports Activities,10,77%,7,1,1,9,0,3,23%,1,1,1,3,0,13,8,2,2,12,0,2
Physical Education,"1,592",76%,629,581,160,"1,370",24,491,24%,224,160,69,453,6,"2,083",853,741,229,"1,823",30,332
