Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-D,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-Passes,all-D,NumberOfCentres
Mental Health Care (New),22,8%,0,3,6,9,5,256,92%,25,57,88,170,25,278,25,60,94,179,30,15
Personal and Social Education,13,20%,3,6,2,11,2,51,80%,26,10,9,45,2,64,29,16,11,56,4,9
Play in Early Education and Childcare,4,2%,0,0,1,1,0,198,98%,24,61,61,146,15,202,24,61,62,147,15,10
Product Design,"1,426",63%,211,337,408,956,131,844,37%,221,230,235,686,56,"2,270",432,567,643,"1,642",187,263
Professional Patisserie,25,56%,0,1,0,1,0,20,44%,0,1,1,2,0,45,0,2,1,3,0,2
Retail Travel (New),4,10%,0,1,1,2,0,35,90%,14,8,9,31,1,39,14,9,10,33,1,4
Selling Scheduled Air Travel,3,10%,0,0,2,2,0,26,90%,4,12,6,22,0,29,4,12,8,24,0,1
Structural Engineering,5,100%,1,0,2,3,0,-,0%,-,-,-,-,-,5,1,0,2,3,0,1
Technological Studies,730,95%,171,129,154,454,75,41,5%,14,6,8,28,7,771,185,135,162,482,82,96
Travel and Tourism*,20,21%,1,1,9,11,2,75,79%,1,8,16,25,10,95,2,9,25,36,12,7
,,,,,,,,,,,,,,,,,,,,,
"Advertising, Marketing and Public Relations",5,50%,0,2,1,3,0,5,50%,0,1,3,4,0,10,0,3,4,7,0,1
Art and Design,"1,782",27%,344,496,575,"1,415",167,"4,873",73%,"1,385","1,521","1,394","4,300",332,"6,655","1,729","2,017","1,969","5,715",499,409
Drama,493,24%,49,146,176,371,58,"1,576",76%,209,492,598,"1,299",143,"2,069",258,638,774,"1,670",201,173
"Interviewing, Writing and Publishing",2,29%,0,1,1,2,0,5,71%,0,0,3,3,0,7,0,1,4,5,0,1
Media Studies,379,45%,33,58,116,207,45,464,55%,47,105,116,268,61,843,80,163,232,475,106,73
Music,"1,932",46%,990,572,255,"1,817",32,"2,285",54%,"1,180",680,310,"2,170",54,"4,217","2,170","1,252",565,"3,987",86,392
Photography for the Media,93,38%,9,31,45,85,0,152,62%,24,39,73,136,4,245,33,70,118,221,4,20
Visual Arts,1,25%,0,0,1,1,0,3,75%,2,1,0,3,0,4,2,1,1,4,0,1
,,,,,,,,,,,,,,,,,,,,,
Dance Practice,11,8%,3,6,2,11,0,124,92%,28,43,31,102,6,135,31,49,33,113,6,6
Fitness and Exercise,27,77%,4,10,9,23,2,8,23%,3,0,5,8,0,35,7,10,14,31,2,3
Physical Education,"3,154",71%,471,"1,155","1,064","2,690",265,"1,307",29%,214,453,406,"1,073",113,"4,461",685,"1,608","1,470","3,763",378,356
Sports Coaching Studies,47,69%,12,21,7,40,0,21,31%,11,6,2,19,0,68,23,27,9,59,0,5
Sports Organisation,5,100%,2,3,0,5,0,-,0%,-,-,-,-,-,5,2,3,0,5,0,1
