Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-PassesUngraded,male-Passes,male-D,female-Entries,female-percentage,female-A,female-B,female-C,female-PassesUngraded,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-PassesUngraded,all-Passes,all-D,NumberOfCentres
Construction Crafts,211,93%,-,-,-,127,127,-,16,7%,-,-,-,7,7,-,227,-,-,-,134,134,-,12
Creative Cake Production,129,20%,74,37,15,-,126,1,521,80%,397,86,36,-,519,0,650,471,123,51,-,645,1,58
Early Education and Childcare,24,4%,-,-,-,19,19,-,530,96%,-,-,-,427,427,-,554,-,-,-,446,446,-,27
Electrical Installation Fundamentals,66,97%,7,30,21,-,58,2,2,3%,***,***,***,-,2,***,68,8,30,22,-,60,2,6
Electronic and Electrical Fundamentals,69,97%,17,12,10,-,39,2,2,3%,***,***,***,-,2,***,71,18,12,11,-,41,2,4
Energy,72,76%,-,-,-,44,44,-,23,24%,-,-,-,10,10,-,95,-,-,-,54,54,-,5
Engineering Craft Skills,625,95%,249,206,152,-,607,1,33,5%,11,15,6,-,32,0,658,260,221,158,-,639,1,70
Engineering Skills,20,95%,-,-,-,15,15,-,1,5%,-,-,-,1,1,-,21,-,-,-,16,16,-,3
Financial Services,22,37%,-,-,-,13,13,-,37,63%,-,-,-,30,30,-,59,-,-,-,43,43,-,9
Graphic Communication,"1,772",74%,735,400,313,-,"1,448",86,629,26%,314,151,81,-,546,30,"2,401","1,049",551,394,-,"1,994",116,244
Hairdressing,7,3%,-,-,-,6,6,-,237,97%,-,-,-,181,181,-,244,-,-,-,187,187,-,10
Health and Safety in Care Settings,18,11%,12,4,2,-,18,0,144,89%,84,37,20,-,141,2,162,96,41,22,-,159,2,8
Home Economics: Fashion and Textile Technology,2,1%,***,***,***,-,2,***,168,99%,23,46,48,-,117,20,170,23,46,50,-,119,20,25
Home Economics: Health and Food Technology,65,21%,9,24,21,-,54,5,250,79%,59,99,64,-,222,16,315,68,123,85,-,276,21,61
Home Economics: Lifestyle and Consumer Technology,11,10%,4,3,0,-,7,2,98,90%,16,35,25,-,76,10,109,20,38,25,-,83,12,18
Hospitality,38,41%,-,-,-,32,32,-,54,59%,-,-,-,44,44,-,92,-,-,-,76,76,-,8
Hospitality - General Operations,27,38%,7,8,1,-,16,1,44,62%,21,16,5,-,42,0,71,28,24,6,-,58,1,6
Hospitality: Practical Cookery,"1,791",33%,808,611,266,-,"1,685",40,"3,650",67%,"2,380",898,260,-,"3,538",29,"5,441","3,188","1,509",526,-,"5,223",69,296
Hospitality - Professional Cookery,38,49%,9,11,12,-,32,1,39,51%,13,14,6,-,33,1,77,22,25,18,-,65,2,5
Information Systems,997,64%,279,280,210,-,769,74,550,36%,185,166,102,-,453,28,"1,547",464,446,312,-,"1,222",102,130
Personal Development,41,39%,-,-,-,27,27,-,65,61%,-,-,-,44,44,-,106,-,-,-,71,71,-,11
Product Design,686,69%,201,203,137,-,541,39,309,31%,124,73,52,-,249,21,995,325,276,189,-,790,60,184
Retailing,18,41%,-,-,-,11,11,-,26,59%,-,-,-,22,22,-,44,-,-,-,33,33,-,6
Selling Overseas Tourist Destinations,18,25%,2,3,8,-,13,0,53,75%,14,11,14,-,39,2,71,16,14,22,-,52,2,3
Technological Studies,164,95%,30,32,36,-,98,5,9,5%,2,3,2,-,7,2,173,32,35,38,-,105,7,28
Travel and Tourism,236,34%,27,54,74,-,155,25,460,66%,101,115,105,-,321,32,696,128,169,179,-,476,57,67
Woodworking Skills,"3,948",87%,"1,891","1,220",686,-,"3,797",12,589,13%,270,199,94,-,563,2,"4,537","2,161","1,419",780,-,"4,360",14,301
,,,,,,,,,,,,,,,,,,,,,,,,
Art and Design,"1,823",27%,"1,139",387,166,-,"1,692",49,"4,830",73%,"3,670",736,281,-,"4,687",62,"6,653","4,809","1,123",447,-,"6,379",111,369
Drama,449,34%,200,130,63,-,393,16,867,66%,505,194,109,-,808,18,"1,316",705,324,172,-,"1,201",34,112
Media Studies,381,42%,39,64,99,-,202,47,525,58%,84,144,137,-,365,52,906,123,208,236,-,567,99,87
Music,"1,637",45%,905,409,197,-,"1,511",39,"1,983",55%,"1,133",505,213,-,"1,851",47,"3,620","2,038",914,410,-,"3,362",86,301
,,,,,,,,,,,,,,,,,,,,,,,,
Fitness and Exercise,6,50%,0,3,0,-,3,0,6,50%,1,2,2,-,5,0,12,1,5,2,-,8,0,2
Leading Sports Activities,12,46%,7,2,3,-,12,0,14,54%,10,4,0,-,14,0,26,17,6,3,-,26,0,1
Physical Education,"3,280",71%,"1,315","1,283",518,-,"3,116",54,"1,318",29%,615,439,203,-,"1,257",27,"4,598","1,930","1,722",721,-,"4,373",81,340
Sport and Recreation,153,81%,-,-,-,127,127,-,35,19%,-,-,-,31,31,-,188,-,-,-,158,158,-,18
