Subject,male-Entries,male-percentage,male-1,male-2,male-3,male-4,male-5,female-Entries,female-percentage,female-1,female-2,female-3,female-4,female-5,all-Entries,all-1,all-2,all-3,all-4,all-5,Number of Centres
Home Economics (Food & Nutrition),1859,0.163141729,47,154,526,330,360,9536,0.836858271,1002,1729,3457,1336,1038,11395,1049,1883,3983,1666,1398,461
Horticultural Science,85,0.867346939,8,20,24,13,7,13,0.132653061,2,3,5,2,-,98,10,23,29,15,7,10
Italian (Traditional),150,0.273722628,51,22,40,15,10,398,0.726277372,123,102,93,35,21,548,174,124,133,50,31,101
Italian (Alternative),6,0.230769231,1,1,2,2,-,20,0.769230769,4,7,3,3,1,26,5,8,5,5,1,3
Latin,1097,0.418223408,439,223,202,85,69,1526,0.581776592,614,356,290,83,102,2623,1053,579,492,168,171,285
Mathematics,19577,0.506284266,3530,3548,5461,2603,2212,19091,0.493715734,2935,3406,5781,2778,2288,38668,6465,6954,11242,5381,4500,601
Metalwork,1517,0.981241915,276,313,482,163,142,29,0.018758085,2,3,5,6,6,1546,278,316,487,169,148,148
Modern Studies,5549,0.485264539,629,956,1752,856,683,5886,0.514735461,707,1009,1903,858,702,11435,1336,1965,3655,1714,1385,411
Music (Traditional),123,0.338842975,13,29,30,21,8,240,0.661157025,34,41,71,42,32,363,47,70,101,63,40,72
Music (Alternative),793,0.29197349,169,148,228,115,78,1923,0.70802651,414,387,589,283,158,2716,583,535,817,398,236,352
Navigation,63,0.969230769,7,7,20,7,9,2,0.030769231,-,-,1,-,-,65,7,7,21,7,9,16
Norwegian,9,0.3,5,2,1,-,1,21,0.7,4,4,10,2,1,30,9,6,11,2,2,11
Physics,16594,0.702451001,3766,3205,4383,2004,1809,7029,0.297548999,1994,1670,1803,700,528,23623,5760,4875,6186,2704,2337,519
Portuguese,1,0.25,-,-,1,-,-,3,0.75,2,1,-,-,-,4,2,1,1,-,-,3
Religious Studies,186,0.302439024,24,25,61,27,25,429,0.697560976,49,67,145,53,64,615,73,92,206,80,89,103
Russian (Traditional),56,0.4,21,13,11,3,5,84,0.6,32,22,17,8,2,140,53,35,28,11,7,33
Russian (Alternative),5,0.192307692,-,-,1,-,1,21,0.807692308,-,3,5,3,4,26,-,3,6,3,5,1
Seamanship and Nautical Knowledge,75,0.925925926,6,10,22,13,13,6,0.074074074,3,1,2,-,-,81,9,11,24,13,13,12
Secretarial Studies ,719,0.039176156,62,138,216,90,77,17634,0.960823844,2099,4238,5821,1995,1580,18353,2161,4376,6037,2085,1657,435
Spanish (Traditional),274,0.283643892,42,47,75,45,44,692,0.716356108,139,162,197,92,80,966,181,209,272,137,124,138
Spanish (Alternative),91,0.303333333,18,12,24,20,14,209,0.696666667,43,44,56,20,30,300,61,56,80,40,44,17
Statistics,649,0.446969697,94,112,183,97,78,803,0.553030303,125,121,235,117,107,1452,219,233,418,214,185,159
Swedish,4,1,3,-,1,-,-,-,0,-,-,-,-,-,4,3,-,1,-,-,4
Technical Drawing,10011,0.919452608,1473,1558,2705,1366,1286,877,0.080547392,118,143,212,133,127,10888,1591,1701,2917,1499,1413,460
Woodwork,2494,0.951908397,360,561,755,305,245,126,0.048091603,12,18,37,26,13,2620,372,579,792,331,258,207
