Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-COMP,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-COMP,all-Entries,all-A,all-B,all-C,all-Passes,all-COMP,NumberOfCentres
History,"3,399",43%,520,"1,063","1,116","2,699",282,"4,509",57%,907,"1,391","1,356","3,654",346,"7,908","1,427","2,454","2,472","6,353",628,414
Modern Studies,"3,090",39%,591,836,914,"2,341",304,"4,810",61%,"1,146","1,395","1,304","3,845",423,"7,900","1,737","2,231","2,218","6,186",727,358
Philosophy,241,36%,27,55,89,171,20,433,64%,58,122,142,322,24,674,85,177,231,493,44,71
Politics,8,30%,2,3,2,7,1,19,70%,8,5,3,16,0,27,10,8,5,23,1,5
Psychology,428,22%,52,100,94,246,31,"1,523",78%,419,376,327,"1,122",80,"1,951",471,476,421,"1,368",111,69
"Religious, Moral and Philosophical Studies",391,24%,53,80,109,242,39,"1,205",76%,217,362,291,870,105,"1,596",270,442,400,"1,112",144,161
Sociology,125,27%,36,28,29,93,5,343,73%,112,85,51,248,14,468,148,113,80,341,19,33
,,,,,,,,,,,,,,,,,,,,,
Administration,640,17%,93,160,188,441,51,"3,187",83%,569,849,854,"2,272",281,"3,827",662,"1,009","1,042","2,713",332,307
Beauty: Beauty Care,-,0%,-,-,-,-,n/a,11,100%,0,0,0,0,n/a,11,0,0,0,0,n/a,1
Building and Architectural Technology,33,87%,1,4,11,16,n/a,5,13%,0,1,1,2,n/a,38,1,5,12,18,n/a,3
Building Services,8,100%,1,4,0,5,n/a,-,0%,-,-,-,-,n/a,8,1,4,0,5,n/a,1
Business Management,"2,426",41%,449,628,730,"1,807",206,"3,482",59%,880,968,904,"2,752",245,"5,908","1,329","1,596","1,634","4,559",451,316
Care,55,12%,5,7,22,34,7,406,88%,76,95,104,275,33,461,81,102,126,309,40,26
Care Practice,30,11%,13,8,5,26,n/a,233,89%,96,54,49,199,n/a,263,109,62,54,225,n/a,14
Civil Engineering,28,90%,9,4,0,13,n/a,3,10%,1,0,1,2,n/a,31,10,4,1,15,n/a,3
Computing,"3,295",74%,629,799,941,"2,369",329,"1,185",26%,223,313,346,882,99,"4,480",852,"1,112","1,287","3,251",428,289
Construction,75,93%,2,10,8,20,n/a,6,7%,0,3,1,4,n/a,81,2,13,9,24,n/a,7
Craft and Design,"1,786",69%,149,382,550,"1,081",237,820,31%,155,231,230,616,84,"2,606",304,613,780,"1,697",321,293
Design,17,35%,2,4,7,13,1,32,65%,3,5,19,27,3,49,5,9,26,40,4,5
Early Years Care and Education,2,2%,0,1,1,2,n/a,123,98%,35,34,36,105,n/a,125,35,35,37,107,n/a,6
Electronics,19,90%,2,2,1,5,n/a,2,10%,0,0,1,1,n/a,21,2,2,2,6,n/a,3
Fabrication and Welding Engineering,8,100%,1,0,0,1,n/a,-,0%,-,-,-,-,n/a,8,1,0,0,1,n/a,2
Food Production Supervision,1,33%,1,0,0,1,n/a,2,67%,1,1,0,2,n/a,3,2,1,0,3,n/a,1
Graphic Communication,"2,191",73%,534,597,564,"1,695",166,815,27%,198,255,185,638,59,"3,006",732,852,749,"2,333",225,313
Home Economics - Fashion and Textile Technology,-,0%,-,-,-,-,-,48,100%,1,5,16,22,10,48,1,5,16,22,10,12
Home Economics - Health and Food Technology,53,7%,4,15,18,37,7,657,93%,54,159,223,436,92,710,58,174,241,473,99,146
Home Economics - Lifestyle and Consumer Technology,8,7%,0,2,2,4,1,115,93%,9,22,45,76,17,123,9,24,47,80,18,24
Hospitality - Food and Drink Service,1,33%,0,0,1,1,n/a,2,67%,0,0,1,1,n/a,3,0,0,2,2,n/a,1
Hospitality - Professional Cookery,33,56%,11,8,3,22,0,26,44%,6,10,2,18,0,59,17,18,5,40,0,5
Hospitality - Reception and Accommodation Operations,-,0%,-,-,-,-,-,4,100%,0,0,3,3,0,4,0,0,3,3,0,1
Information Systems,"2,036",70%,156,499,625,"1,280",257,860,30%,94,239,247,580,99,"2,896",250,738,872,"1,860",356,190
Mechanical Engineering,11,73%,2,1,4,7,n/a,4,27%,1,0,0,1,n/a,15,3,1,4,8,n/a,4
Mechatronics,26,100%,8,5,1,14,n/a,-,0%,-,-,-,-,n/a,26,8,5,1,14,n/a,4
Mental Health Care,17,13%,3,6,5,14,n/a,119,88%,47,26,31,104,n/a,136,50,32,36,118,n/a,8
Personal and Social Education,13,18%,3,4,1,8,3,58,82%,24,14,11,49,4,71,27,18,12,57,7,11
Professional Patisserie,19,41%,4,8,4,16,n/a,27,59%,8,13,5,26,n/a,46,12,21,9,42,n/a,3
Quantity Surveying,-,0%,-,-,-,-,n/a,2,100%,1,0,1,2,n/a,2,1,0,1,2,n/a,2
Retail Travel,2,7%,0,0,1,1,n/a,27,93%,1,6,8,15,n/a,29,1,6,9,16,n/a,4
Selling Scheduled Air Travel,1,5%,0,0,0,0,n/a,20,95%,0,2,8,10,n/a,21,0,2,8,10,n/a,2
Structural Engineering,7,88%,3,1,3,7,n/a,1,13%,0,0,0,0,n/a,8,3,1,3,7,n/a,1
Technological Studies,895,94%,242,186,191,619,63,62,6%,11,15,18,44,4,957,253,201,209,663,67,125
Tourism,5,9%,0,0,2,2,0,50,91%,3,8,5,16,1,55,3,8,7,18,1,7
,,,,,,,,,,,,,,,,,,,,,
"Advertising, Marketing and Public Relations",5,50%,0,1,4,5,n/a,5,50%,1,1,0,2,n/a,10,1,2,4,7,n/a,1
Art and Design,"2,071",29%,277,536,735,"1,548",225,"5,129",71%,"1,076","1,558","1,668","4,302",432,"7,200","1,353","2,094","2,403","5,850",657,413
Drama,380,24%,46,112,135,293,42,"1,189",76%,236,428,344,"1,008",77,"1,569",282,540,479,"1,301",119,154
Media Studies,337,43%,30,51,68,149,26,440,57%,34,81,109,224,49,777,64,132,177,373,75,61
Music,"1,192",39%,622,344,148,"1,114",23,"1,898",61%,976,550,268,"1,794",45,"3,090","1,598",894,416,"2,908",68,386
Photography for the Media,7,50%,2,0,0,2,n/a,7,50%,3,0,0,3,n/a,14,5,0,0,5,n/a,3
Visual Arts,18,36%,2,1,12,15,n/a,32,64%,3,3,22,28,n/a,50,5,4,34,43,n/a,6
,,,,,,,,,,,,,,,,,,,,,
Dance Practice,1,10%,0,0,1,1,n/a,9,90%,1,3,3,7,n/a,10,1,3,4,8,n/a,2
Fitness and Exercise,19,59%,3,4,5,12,2,13,41%,4,6,1,11,0,32,7,10,6,23,2,2
Physical Education,"2,716",71%,688,849,668,"2,205",186,"1,085",29%,299,267,276,842,104,"3,801",987,"1,116",944,"3,047",290,352
Sports Coaching Studies,23,62%,4,8,3,15,n/a,14,38%,6,2,3,11,n/a,37,10,10,6,26,n/a,4
Sports Organisation,14,78%,0,4,2,6,n/a,4,22%,0,1,1,2,n/a,18,0,5,3,8,n/a,1
