Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-Comp,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-Comp,all-Entries,all-A,all-B,all-C,all-Passes,all-Comp,NumberOfCentres
Geography,794,61%,159,237,217,613,76,507,39%,134,162,119,415,37,"1,301",293,399,336,"1,028",113,217
History,756,47%,131,169,201,501,76,844,53%,180,210,245,635,75,"1,600",311,379,446,"1,136",151,273
Modern Studies,522,45%,90,108,151,349,47,629,55%,154,139,165,458,52,"1,151",244,247,316,807,99,178
Philosophy,17,35%,6,4,3,13,N/A,32,65%,11,5,3,19,N/A,49,17,9,6,32,N/A,15
Psychology,49,20%,13,8,5,26,2,194,80%,89,35,27,151,9,243,102,43,32,177,11,22
"Religious, Moral and Philosophical Studies",88,32%,5,12,15,32,9,187,68%,18,45,43,106,19,275,23,57,58,138,28,65
Sociology,23,19%,8,5,3,16,1,97,81%,58,18,8,84,0,120,66,23,11,100,1,10
,,,,,,,,,,,,,,,,,,,,,
Administration,592,21%,83,232,139,454,38,"2,238",79%,469,831,508,"1,808",128,"2,830",552,"1,063",647,"2,262",166,300
Business Management,428,41%,115,113,74,302,35,607,59%,221,136,105,462,35,"1,035",336,249,179,764,70,174
Care,31,9%,14,6,3,23,0,296,91%,118,42,35,195,13,327,132,48,38,218,13,21
Care Issues for Society,12,10%,4,2,3,9,N/A,109,90%,28,33,30,91,N/A,121,32,35,33,100,N/A,10
Computing,"1,314",72%,180,244,325,749,N/A,522,28%,98,108,118,324,N/A,"1,836",278,352,443,"1,073",N/A,148
Construction Craft Skills,19,100%,7,8,1,16,N/A,-,0%,-,-,-,-,-,19,7,8,1,16,N/A,2
Construction Industry Practice,37,100%,0,4,18,22,N/A,-,0%,-,-,-,-,-,37,0,4,18,22,N/A,5
Craft and Design,511,79%,102,107,90,299,N/A,135,21%,47,28,26,101,N/A,646,149,135,116,400,N/A,168
Design,13,28%,1,4,2,7,N/A,33,72%,3,12,13,28,N/A,46,4,16,15,35,N/A,5
Electronic and Electrical Fundamentals,64,94%,5,3,6,14,N/A,4,6%,0,1,0,1,N/A,68,5,4,6,15,N/A,9
Engineering Craft Skills,157,96%,54,57,38,149,0,7,4%,1,1,5,7,0,164,55,58,43,156,0,34
Fabrication and Welding,4,100%,0,4,0,4,N/A,-,0%,-,-,-,-,-,4,0,4,0,4,N/A,1
Graphic Communication,604,73%,118,143,133,394,N/A,223,27%,45,44,53,142,N/A,827,163,187,186,536,N/A,188
Health and Safety in Care Settings,6,13%,2,0,2,4,N/A,41,87%,16,6,10,32,N/A,47,18,6,12,36,N/A,4
Home Economics - Fashion and Textile Technology,-,0%,-,-,-,-,-,41,100%,10,14,8,32,2,41,10,14,8,32,2,10
Home Economics - Health and Food Technology,35,13%,0,3,6,9,8,238,87%,6,28,66,100,32,273,6,31,72,109,40,79
Home Economics - Lifestyle and Consumer Technology,4,8%,1,0,1,2,0,47,92%,8,13,15,36,4,51,9,13,16,38,4,13
Hospitality - General Operations,104,50%,25,33,16,74,N/A,103,50%,36,36,14,86,N/A,207,61,69,30,160,N/A,19
Hospitality - Practical Cookery,487,24%,142,131,101,374,33,"1,545",76%,741,493,178,"1,412",21,"2,032",883,624,279,"1,786",54,240
Hospitality - Professional Cookery,107,52%,26,40,21,87,N/A,97,48%,33,34,15,82,N/A,204,59,74,36,169,N/A,17
Information Systems,"2,161",66%,486,586,458,"1,530",N/A,"1,123",34%,292,327,227,846,N/A,"3,284",778,913,685,"2,376",N/A,249
Personal and Social Education,13,37%,2,2,4,8,4,22,63%,6,7,5,18,0,35,8,9,9,26,4,7
Selling Overseas Tourist Destinations,6,14%,0,0,3,3,N/A,36,86%,5,7,14,26,N/A,42,5,7,17,29,N/A,6
Technological Studies,159,99%,30,26,20,76,N/A,2,1%,0,1,0,1,N/A,161,30,27,20,77,N/A,54
Travel and Tourism,171,28%,89,28,15,132,3,437,72%,259,65,34,358,9,608,348,93,49,490,12,65
Woodworking Skills,"1,266",84%,496,468,251,"1,215",5,247,16%,112,81,43,236,1,"1,513",608,549,294,"1,451",6,209
,,,,,,,,,,,,,,,,,,,,,
Art and Design,712,40%,140,194,184,518,42,"1,063",60%,338,318,231,887,42,"1,775",478,512,415,"1,405",84,281
Drama,150,32%,61,34,19,114,2,312,68%,145,85,33,263,3,462,206,119,52,377,5,66
Media Studies,185,43%,18,25,35,78,23,245,57%,31,50,54,135,30,430,49,75,89,213,53,41
Music,333,47%,76,116,58,250,18,382,53%,55,145,116,316,19,715,131,261,174,566,37,216
,,,,,,,,,,,,,,,,,,,,,
Fitness and Exercise,4,50%,1,2,0,3,N/A,4,50%,2,2,0,4,N/A,8,3,4,0,7,N/A,1
Leading Sports Activities,5,50%,0,3,1,4,N/A,5,50%,3,1,1,5,N/A,10,3,4,2,9,N/A,1
Physical Education,"1,369",77%,461,457,163,"1,081",21,416,23%,149,142,62,353,10,"1,785",610,599,225,"1,434",31,298
