Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-COMP,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-COMP,all-Entries,all-A,all-B,all-C,all-Passes,all-COMP,NumberOfCentres
Computing,"3,335",72%,517,965,"1,004","2,486",296,"1,269",28%,165,312,421,898,131,"4,604",682,"1,277","1,425","3,384",427,283
Construction,25,100%,1,4,4,9,N/A,-,0%,-,-,-,-,-,25,1,4,4,9,N/A,2
Craft and Design,"1,689",67%,164,368,484,"1,016",224,830,33%,193,207,240,640,84,"2,519",357,575,724,"1,656",308,293
Design,23,33%,0,3,11,14,5,46,67%,5,7,22,34,8,69,5,10,33,48,13,5
Electrical Engineering,20,100%,0,0,0,0,N/A,-,0%,-,-,-,-,-,20,0,0,0,0,N/A,1
Electronics,25,100%,2,1,2,5,N/A,-,0%,-,-,-,-,-,25,2,1,2,5,N/A,3
Fabrication and Welding Engineering,6,100%,1,1,0,2,N/A,-,0%,-,-,-,-,-,6,1,1,0,2,N/A,1
Food Production Supervision,11,48%,2,2,6,10,N/A,12,52%,1,4,7,12,N/A,23,3,6,13,22,N/A,1
Graphic Communication,"2,010",72%,394,539,541,"1,474",142,798,28%,170,233,203,606,60,"2,808",564,772,744,"2,080",202,297
Home Economics - Fashion and Textile Technology,1,3%,0,0,0,0,1,39,98%,1,4,12,17,11,40,1,4,12,17,12,6
Home Economics - Health and Food Technology,50,7%,7,7,15,29,8,695,93%,58,167,253,478,90,745,65,174,268,507,98,142
Home Economics - Lifestyle and Consumer Technology,6,5%,1,0,2,3,0,104,95%,14,26,40,80,8,110,15,26,42,83,8,18
Hospitality - Professional Cookery,33,53%,8,3,5,16,2,29,47%,3,9,5,17,0,62,11,12,10,33,2,6
Information Systems,"1,743",69%,198,415,516,"1,129",241,769,31%,104,217,215,536,92,"2,512",302,632,731,"1,665",333,168
Mechanical Engineering,20,95%,0,1,3,4,N/A,1,5%,1,0,0,1,N/A,21,1,1,3,5,N/A,4
Mechatronics,22,100%,7,4,2,13,N/A,-,0%,-,-,-,-,-,22,7,4,2,13,N/A,3
Mental Health Care,7,8%,3,3,1,7,N/A,81,92%,23,35,18,76,N/A,88,26,38,19,83,N/A,6
Personal and Social Education,18,26%,9,6,2,17,0,51,74%,30,13,5,48,3,69,39,19,7,65,3,7
Professional Patisserie,15,54%,1,9,3,13,N/A,13,46%,4,4,4,12,N/A,28,5,13,7,25,N/A,1
Quantity Surveying,1,100%,0,0,0,0,N/A,-,0%,-,-,-,-,-,1,0,0,0,0,N/A,1
Retail Travel,3,17%,0,0,2,2,N/A,15,83%,1,4,3,8,N/A,18,1,4,5,10,N/A,2
Selling Scheduled Air Travel,2,18%,0,0,2,2,N/A,9,82%,3,4,0,7,N/A,11,3,4,2,9,N/A,2
Structural Engineering,3,100%,2,1,0,3,N/A,-,0%,-,-,-,-,-,3,2,1,0,3,N/A,1
Technological Studies,973,95%,278,203,195,676,62,51,5%,16,11,11,38,2,"1,024",294,214,206,714,64,136
Tourism,24,28%,4,1,7,12,N/A,63,72%,6,7,12,25,N/A,87,10,8,19,37,N/A,13
,,,,,,,,,,,,,,,,,,,,,
"Advertising, Marketing and Public Relations",5,71%,1,1,3,5,N/A,2,29%,0,2,0,2,N/A,7,1,3,3,7,N/A,1
Art and Design,"2,033",30%,281,531,767,"1,579",223,"4,777",70%,"1,040","1,563","1,538","4,141",358,"6,810","1,321","2,094","2,305","5,720",581,413
Drama,304,22%,39,93,101,233,30,"1,095",78%,207,366,331,904,94,"1,399",246,459,432,"1,137",124,144
Media Literacy,-,0%,-,-,-,-,-,4,100%,0,0,0,0,N/A,4,0,0,0,0,N/A,1
Media Studies,310,49%,32,40,73,145,36,329,51%,43,59,93,195,30,639,75,99,166,340,66,41
Music,"1,159",38%,600,346,135,"1,081",17,"1,880",62%,953,569,266,"1,788",31,"3,039","1,553",915,401,"2,869",48,389
Photography for the Media,11,65%,0,7,2,9,N/A,6,35%,0,1,2,3,N/A,17,0,8,4,12,N/A,2
Visual Arts,14,30%,0,3,5,8,N/A,32,70%,2,0,7,9,N/A,46,2,3,12,17,N/A,3
,,,,,,,,,,,,,,,,,,,,,
Fitness and Exercise,12,48%,1,4,6,11,1,13,52%,1,5,6,12,1,25,2,9,12,23,2,2
Physical Education,"2,665",72%,774,805,620,"2,199",177,"1,016",28%,343,244,234,821,88,"3,681","1,117","1,049",854,"3,020",265,345
Sports Coaching Studies,14,58%,2,2,4,8,N/A,10,42%,0,3,6,9,N/A,24,2,5,10,17,N/A,1
Sports Organisation,11,52%,1,2,4,7,N/A,10,48%,0,3,6,9,N/A,21,1,5,10,16,N/A,1
