Subject,male-Entries,male-percentage,male-1,male-2,male-3,male-4,male-5,male-6,male-7,female-Entries,female-percentage,female-1,female-2,female-3,female-4,female-5,female-6,female-7,all-Entries,all-1,all-2,all-3,all-4,all-5,all-6,all-7,NumberOfCentres
Geography,"8,902",56%,"2,248","2,150","1,836","1,085","1,184",309,89,"7,058",44%,"2,378","1,673","1,316",753,658,230,49,"15,960","4,626","3,823","3,152","1,838","1,842",539,138,336
History,"9,596",51%,"2,328","2,364","1,792","1,333","1,335",308,134,"9,352",49%,"3,188","2,533","1,582",971,832,169,75,"18,948","5,516","4,897","3,374","2,304","2,167",477,209,327
Modern Studies,"5,861",44%,"1,524","1,132","1,217","1,033",832,95,28,"7,318",56%,"2,182","1,653","1,583","1,100",670,113,16,"13,179","3,706","2,785","2,800","2,133","1,502",208,44,266
Religious Studies,558,35%,71,91,79,123,94,65,10,"1,044",65%,276,253,170,167,93,43,7,"1,602",347,344,249,290,187,108,17,69
Social & Vocational Skills,853,47%,88,183,249,216,79,11,0,966,53%,236,255,272,138,38,6,0,"1,819",324,438,521,354,117,17,-,76
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Administration,"1,212",25%,87,258,238,279,234,93,9,"3,609",75%,621,"1,090",616,668,385,179,16,"4,821",708,"1,348",854,947,619,272,25,175
Business Management,"2,621",45%,787,818,539,327,106,12,0,"3,168",55%,"1,164",914,542,365,134,15,1,"5,789","1,951","1,732","1,081",692,240,27,1,185
Computing Studies,"7,273",70%,"1,621","1,875","1,745","1,205",656,129,8,"3,181",30%,796,832,688,527,273,46,9,"10,454","2,417","2,707","2,433","1,732",929,175,17,267
Craft & Design,"7,874",77%,"1,126","2,300","2,134","1,459",571,130,2,"2,409",23%,521,710,589,375,121,29,1,"10,283","1,647","3,010","2,723","1,834",692,159,3,311
Graphic Communication,"4,934",67%,"1,031","1,509","1,049",872,320,95,6,"2,410",33%,729,771,443,350,76,18,0,"7,344","1,760","2,280","1,492","1,222",396,113,6,256
Home Economics,"1,027",24%,61,218,306,321,91,11,0,"3,182",76%,699,"1,053",853,453,78,10,1,"4,209",760,"1,271","1,159",774,169,21,1,175
Technological Studies,"1,218",94%,439,299,187,143,91,48,6,76,6%,31,11,16,9,6,2,0,"1,294",470,310,203,152,97,50,6,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art and Design,"3,104",29%,278,801,"1,260",608,96,10,0,"7,760",71%,"1,340","3,131","2,494",656,74,4,0,"10,864","1,618","3,932","3,754","1,264",170,14,-,224
Drama,"2,131",35%,456,573,536,349,145,24,0,"4,004",65%,"1,423","1,210",760,405,109,24,3,"6,135","1,879","1,783","1,296",754,254,48,3,170
Music,"3,934",44%,"1,570","1,320",598,260,114,18,1,"4,921",56%,"2,203","1,638",700,251,66,12,0,"8,855","3,773","2,958","1,298",511,180,30,1,280
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Education,"10,358",69%,"2,815","3,758","2,600",917,177,13,1,"4,688",31%,"1,087","1,801","1,158",492,109,10,1,"15,046","3,902","5,559","3,758","1,409",286,23,2,293
