Subject,male-Entries,male-percentage,male-1,male-2,male-3,male-4,male-5,female-Entries,female-percentage,female-1,female-2,female-3,female-4,female-5,all-Entries,all-1,all-2,all-3,all-4,all-5,NumberOfCentres
Music (Alternative),68,0.283333333,19,13,19,8,4,172,0.716666667,49,38,50,20,9,240,68,51,69,28,13,49
Navigation,20,0.869565217,-,3,4,-,2,3,0.130434783,1,1,1,-,-,23,1,4,5,-,2,5
Norwegian,10,0.588235294,3,3,2,1,1,7,0.411764706,1,1,3,-,2,17,4,4,5,1,3,7
Physics,3452,0.674350459,730,611,916,523,413,1667,0.325649541,425,324,441,209,179,5119,1155,935,1357,732,592,372
Portuguese,1,1,1,-,-,-,-,-,0,-,-,-,-,-,1,1,-,-,-,-,1
Religious Studies,70,0.24822695,6,15,17,14,8,212,0.75177305,44,47,64,28,12,282,50,62,81,42,20,65
Russian (Traditional),28,0.333333333,12,8,5,2,1,56,0.666666667,24,6,11,9,5,84,36,14,16,11,6,28
Russian (Alternative),-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Seamanship and Nautical Knowledge,28,0.903225806,10,2,3,4,5,3,0.096774194,2,-,1,-,-,31,12,2,4,4,5,6
Secretarial Studies (Audio-typewriting),146,0.054681648,21,25,50,20,14,2524,0.945318352,415,619,733,306,217,2670,436,644,783,326,231,142
Secretarial Studies (Word Processing),189,0.071320755,24,36,55,22,24,2461,0.928679245,405,619,716,248,205,2650,429,655,771,270,229,155
Spanish (Traditional),160,0.252764613,36,39,41,11,17,473,0.747235387,84,102,126,78,45,633,120,141,167,89,62,109
Spanish (Alternative),28,0.254545455,3,5,11,6,2,82,0.745454545,26,12,23,11,6,110,29,17,34,17,8,7
Statistics,265,0.520628684,73,44,77,25,25,244,0.479371316,56,54,62,24,27,509,129,98,139,49,52,57
Swedish,1,1,-,-,1,-,- ,-,0,-,-,-,-,-,1,-,-,1,-,-,1
Technical Drawing,4988,0.863722944,409,669,1198,736,795,787,0.136277056,37,100,192,124,143,5775,446,769,1390,860,938,384
