,ï..Subject,male.Entries,male.percentage,male.A,male.B,male.C,male.D,male.E,female.Entries,female.percentage,female.A,female.B,female.C,female.D,female.E,all.Entries,all.A,all.B,all.C,all.D,all.E,Year
67,Mathematics II,1397,0.67815534,148,237,303,319,308,663,0.32184466,84,149,168,138,111,2060,232,386,471,457,419,1988
68,Mathematics III,198,0.632587859,19,39,42,50,43,115,0.367412141,12,23,26,33,17,313,31,62,68,83,60,1988
69,Mathematics IV,449,0.797513321,53,110,130,95,61,114,0.202486679,11,18,34,27,24,563,64,128,164,122,85,1988
70,Mathematics V,147,0.924528302,29,28,40,18,26,12,0.075471698,2,2,4,-,4,159,31,30,44,18,30,1988
71,Modern Studies ,84,0.49704142,8,20,37,16,3,85,0.50295858,4,29,38,11,3,169,12,49,75,27,6,1988
72,Physics,883,0.825233645,92,127,316,228,112,187,0.174766355,30,32,68,47,10,1070,122,159,384,275,122,1988
73,Russian,1,0.142857143,-,1,-,-,-,6,0.857142857,2,2,2,-,-,7,2,3,2,-,-,1988
74,Secretarial Studies,1,0.018867925,-,-,1,-,-,52,0.981132075,1,23,28,-,-,53,1,23,29,-,-,1988
75,Spanish,5,0.217391304,1,-,4,-,-,18,0.782608696,2,9,6,1,-,23,3,9,10,1,-,1988
76,Art and Design (Enquiry),154,0.308617234,6,19,49,65,15,345,0.691382766,10,42,110,155,28,499,16,61,159,220,43,1989
77,Art and Design (Research and Appreciation),5,0.161290323,-,-,3,1,1,26,0.838709677,2,10,10,4,-,31,2,10,13,5,1,1989
78,Biology,218,0.301104972,28,45,66,42,37,506,0.698895028,64,136,178,84,44,724,92,181,244,126,81,1989
79,Chemistry,933,0.562048193,164,254,321,133,61,727,0.437951807,102,213,260,111,41,1660,266,467,581,244,102,1989
80,Economics,71,0.855421687,8,21,29,12,1,12,0.144578313,2,1,7,2,-,83,10,22,36,14,1,1989
81,Engineering,7,1,2,-,1,3,1,-,0,-,-,-,-,-,7,2,-,1,3,1,1989
82,English,498,0.316592498,42,105,206,104,41,1075,0.683407502,97,252,480,196,50,1573,139,357,686,300,91,1989
83,French,133,0.225806452,16,51,48,14,4,456,0.774193548,58,138,185,58,17,589,74,189,233,72,21,1989
84,Gaelic,3,0.375,-,2,1,-,-,5,0.625,3,1,1,-,-,8,3,3,2,-,-,1989
85,Geography,197,0.510362694,11,65,95,23,2,189,0.489637306,15,68,89,15,2,386,26,133,184,38,4,1989
86,German,41,0.238372093,8,11,17,4,1,131,0.761627907,23,40,58,9,1,172,31,51,75,13,2,1989
87,Greek,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,1989
88,History,325,0.448895028,21,121,145,37,1,399,0.551104972,33,154,181,29,2,724,54,275,326,66,3,1989
89,Italian,1,0.2,-,1,-,-,-,4,0.8,2,1,1,-,-,5,2,2,1,-,-,1989
90,Latin,21,0.5,4,9,3,4,1,21,0.5,2,6,6,5,2,42,6,15,9,9,3,1989
91,Mathematics I,461,0.659513591,62,78,137,101,68,238,0.340486409,25,62,76,50,21,699,87,140,213,151,89,1989
92,Mathematics II,1430,0.664498141,194,293,314,287,271,722,0.335501859,105,209,178,140,79,2152,299,502,492,427,350,1989
93,Mathematics III,210,0.67961165,24,49,46,51,28,99,0.32038835,8,23,36,13,14,309,32,72,82,64,42,1989
94,Mathematics IV,343,0.734475375,58,103,88,49,45,124,0.265524625,14,28,30,32,20,467,72,131,118,81,65,1989
95,Mathematics V,141,0.839285714,24,29,37,12,32,27,0.160714286,3,2,8,5,6,168,27,31,45,17,38,1989
96,Modern Studies ,92,0.481675393,7,27,49,9,-,99,0.518324607,10,32,41,15,1,191,17,59,90,24,1,1989
97,Physics,847,0.823129252,102,117,254,236,130,182,0.176870748,21,30,65,44,22,1029,123,147,319,280,152,1989
98,Russian,3,0.272727273,1,1,1,-,-,8,0.727272727,2,3,1,2,-,11,3,4,2,2,-,1989
99,Secretarial Studies,3,0.048387097,-,2,1,-,-,59,0.951612903,1,25,29,4,-,62,1,27,30,4,-,1989
100,Spanish,3,0.107142857,-,1,2,-,-,25,0.892857143,5,7,9,3,1,28,5,8,11,3,1,1989
101,Art and Design (Enquiry),-,0.287356322,9,21,37,63,20,372,0.712643678,18,58,120,141,35,522,27,79,157,204,55,1990
102,Art and Design (Research and Appreciation),2,0.086956522,-,1,1,-,-,21,0.913043478,-,2,11,8,-,23,-,3,12,8,-,1990
103,Biology,-,0.315653299,32,65,68,47,32,529,0.684346701,59,131,213,76,50,773,91,196,281,123,82,1990
104,Chemistry,831,0.543137255,140,219,297,128,47,699,0.456862745,116,202,259,87,35,1530,256,421,556,215,82,1990
105,Economics,-,0.808823529,7,18,28,2,-,13,0.191176471,-,5,4,2,2,68,7,23,32,4,2,1990
106,Engineering,2,1,1,1,-,-,-,-,0,-,-,-,-,-,2,1,1,-,-,-,1990
107,English (Revised),-,0.339688042,10,46,82,36,21,381,0.660311958,36,86,164,80,15,577,46,132,246,116,36,1990
108,English,-,0.348232848,36,67,131,79,20,627,0.651767152,52,164,273,111,26,962,88,231,404,190,46,1990
109,French (Revised),29,0.266055046,7,6,13,2,1,80,0.733944954,4,31,27,14,4,109,11,37,40,16,5,1990
110,French,120,0.223880597,18,32,57,11,2,416,0.776119403,46,135,153,63,19,536,64,167,210,74,21,1990
111,Gaelic,1,0.142857143,-,1,-,-,-,6,0.857142857,2,3,1,-,-,7,2,4,1,-,-,1990
112,Geography,-,0.546632124,12,61,105,32,1,175,0.453367876,17,61,80,17,-,386,29,122,185,49,1,1990
113,German,35,0.185185185,9,10,10,5,1,154,0.814814815,27,57,53,13,4,189,36,67,63,18,5,1990
114,Greek,1,1,-,1,-,-,-,-,0,-,-,-,-,-,1,-,1,-,-,-,1990
115,History,309,0.489698891,25,109,136,36,3,322,0.510301109,26,104,153,37,1,631,51,213,289,73,4,1990
116,Italian,1,0.25,1,-,-,-,-,3,0.75,-,2,1,-,-,4,1,2,1,-,-,1990
117,Latin (Revised),6,0.3,2,2,2,-,-,14,0.7,2,1,7,3,1,20,4,3,9,3,1,1990
118,Latin,13,0.590909091,3,3,6,-,1,9,0.409090909,-,3,4,2,-,22,3,6,10,2,1,1990
119,Mathematics I,-,0.669254658,53,75,120,105,58,213,0.330745342,15,42,62,64,27,644,68,117,182,169,85,1990
120,Mathematics II,-,0.648773716,126,253,345,304,262,759,0.351226284,80,155,221,148,123,2161,206,408,566,452,385,1990
121,Mathematics III,-,0.613138686,18,30,37,37,41,106,0.386861314,12,20,33,25,14,274,30,50,70,62,55,1990
122,Mathematics IV,-,0.711538462,30,61,85,44,39,105,0.288461538,16,20,42,14,13,364,46,81,127,58,52,1990
123,Mathematics V,141,0.839285714,24,22,46,12,31,27,0.160714286,5,5,8,1,4,168,29,27,54,13,35,1990
124,Modern Studies ,104,0.488262911,9,36,45,13,1,109,0.511737089,9,35,52,13,-,213,18,71,97,26,1,1990
125,Physics,-,0.817610063,90,118,243,200,124,174,0.182389937,24,33,47,51,19,954,114,151,290,251,143,1990
126,Russian,2,0.4,-,1,1,-,-,3,0.6,1,1,1,-,-,5,1,2,2,-,-,1990
127,Secretarial Studies (Audio-typewriting),1,0.047619048,-,1,-,-,-,20,0.952380952,-,7,8,4,1,21,-,8,8,4,1,1990
128,Secretarial Studies (Word Processing),1,0.034482759,-,-,1,-,-,28,0.965517241,2,12,12,2,-,29,2,12,13,2,-,1990
129,Spanish,3,0.066666667,1,1,-,1,-,42,0.933333333,9,15,15,3,-,45,10,16,15,4,-,1990
130,Art and Design (Enquiry),191,0.319932998,9,28,52,79,22,406,0.680067002,17,55,132,164,37,597,26,83,184,243,59,1991
131,Art and Design (Research and Appreciation),10,0.294117647,-,4,4,2,-,24,0.705882353,-,5,15,4,-,34,-,9,19,6,-,1991
132,Biology,232,0.333333333,26,53,83,46,24,464,0.666666667,53,127,181,72,31,696,79,180,264,118,55,1991
133,Chemistry,859,0.580797836,155,228,281,123,72,620,0.419202164,101,196,230,67,26,1479,256,424,511,190,98,1991
134,Economics,42,0.736842105,5,14,15,8,-,15,0.263157895,2,4,7,2,-,57,7,18,22,10,-,1991
135,Engineering,1,1,1,-,-,-,-,-,0,-,-,-,-,-,1,1,-,-,-,-,1991
136,English,519,0.337451235,54,114,192,125,32,1019,0.662548765,68,238,463,200,48,1538,122,352,655,325,80,1991
137,French,111,0.212643678,15,34,43,13,6,411,0.787356322,48,127,178,50,8,522,63,161,221,63,14,1991
138,Gaelic,3,0.3,2,1,-,-,-,7,0.7,2,4,1,-,-,10,4,5,1,-,-,1991
139,Geography,195,0.517241379,15,46,102,31,1,182,0.482758621,6,74,80,21,1,377,21,120,182,52,2,1991
140,German,50,0.238095238,15,17,16,2,-,160,0.761904762,34,49,71,6,-,210,49,66,87,8,-,1991
141,Greek,-,0,-,-,-,-,-,3,1,2,1,-,-,-,3,2,1,-,-,-,1991
142,History,324,0.470246734,24,121,139,37,3,365,0.529753266,30,151,159,24,1,689,54,272,298,61,4,1991
143,Italian,-,0,-,-,-,-,-,4,1,1,1,2,-,-,4,1,1,2,-,-,1991
144,Latin,17,0.377777778,2,4,5,2,4,28,0.622222222,2,7,16,1,2,45,4,11,21,3,6,1991
145,Mathematics I,387,0.660409556,40,68,108,98,50,199,0.339590444,21,40,60,54,20,586,61,108,168,152,70,1991
146,Mathematics II,1293,0.668217054,170,223,330,308,209,642,0.331782946,102,158,180,137,56,1935,272,381,510,445,265,1991
147,Mathematics III,178,0.681992337,33,28,39,49,23,83,0.318007663,12,15,28,19,9,261,45,43,67,68,32,1991
148,Mathematics IV (Revised),75,0.75,19,27,13,12,4,25,0.25,5,8,11,-,1,100,24,35,24,12,5,1991
149,Mathematics IV,87,0.69047619,10,16,20,27,14,39,0.30952381,4,7,9,12,7,126,14,23,29,39,21,1991
150,Mathematics V,112,0.861538462,19,19,34,22,11,18,0.138461538,2,4,2,6,1,130,21,23,36,28,12,1991
151,Modern Studies ,107,0.511961722,10,30,56,11,-,102,0.488038278,7,39,39,17,-,209,17,69,95,28,-,1991
152,Physics,729,0.801980198,105,108,202,215,94,180,0.198019802,29,44,46,43,18,909,134,152,248,258,112,1991
153,Russian,1,0.25,1,-,-,-,-,3,0.75,1,1,1,-,-,4,2,1,1,-,-,1991
154,Secretarial Studies (Audio-typewriting),1,0.05,-,1,-,-,-,19,0.95,-,3,16,-,-,20,-,4,16,-,-,1991
155,Secretarial Studies (Word Processing),-,0,-,-,-,-,-,44,1,4,26,12,2,-,44,4,26,12,2,-,1991
156,Spanish,12,0.230769231,3,4,5,-,-,40,0.769230769,9,13,14,4,-,52,12,17,19,4,-,1991
157,Art and Design (Enquiry),261,0.354138399,21,40,75,98,27,476,0.645861601,20,64,142,208,41,737,41,104,217,306,68,1992
158,Art and Design (Research and Appreciation),9,0.257142857,2,4,3,-,-,26,0.742857143,4,12,9,1,-,35,6,16,12,1,-,1992
159,Biology (Revised),85,0.344129555,5,26,26,14,14,162,0.655870445,33,37,55,20,17,247,38,63,81,34,31,1992
160,Biology,155,0.291353383,18,35,58,25,19,377,0.708646617,41,115,140,47,34,532,59,150,198,72,53,1992
161,Chemistry (Revised),144,0.585365854,24,38,51,20,11,102,0.414634146,16,33,44,9,-,246,40,71,95,29,11,1992
162,Chemistry,698,0.535276074,132,197,231,79,59,606,0.464723926,109,180,223,72,22,1304,241,377,454,151,81,1992
163,Economics,53,0.736111111,11,15,20,7,-,19,0.263888889,3,8,7,1,-,72,14,23,27,8,-,1992
164,Engineering,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,1992
165,English,527,0.326517968,32,117,205,117,51,1087,0.673482032,79,241,447,248,66,1614,111,358,652,365,117,1992
166,French,91,0.171374765,7,21,50,9,4,440,0.828625235,49,150,174,54,13,531,56,171,224,63,17,1992
167,Gaidhlig,-,0,-,-,-,-,-,1,1,-,-,1,-,-,1,-,-,1,-,-,1992
168,Gaelic,2,0.166666667,-,1,-,1,-,10,0.833333333,3,4,3,-,-,12,3,5,3,1,-,1992
169,Geography (Revised),79,0.454022989,7,30,31,11,-,95,0.545977011,8,47,32,8,-,174,15,77,63,19,-,1992
170,Geography,154,0.553956835,9,49,67,26,3,124,0.446043165,9,54,45,15,-,278,18,103,112,41,3,1992
171,German (Revised),29,0.210144928,7,6,12,2,2,109,0.789855072,19,36,47,4,3,138,26,42,59,6,5,1992
172,German,11,0.174603175,3,1,7,-,-,52,0.825396825,14,20,18,-,-,63,17,21,25,-,-,1992
173,Greek,-,0,-,-,-,-,-,1,1,1,-,-,-,-,1,1,-,-,-,-,1992
174,History (Revised),51,0.421487603,4,22,22,3,-,70,0.578512397,4,24,33,7,2,121,8,46,55,10,2,1992
175,History,289,0.439878234,24,115,120,30,-,368,0.560121766,30,138,167,33,-,657,54,253,287,63,-,1992
176,Italian (Revised),2,0.5,-,1,1,-,-,2,0.5,2,-,-,-,-,4,2,1,1,-,-,1992
177,Italian,-,0,-,-,-,-,-,1,1,-,-,1,-,-,1,-,-,1,-,-,1992
178,Latin,12,0.235294118,3,2,3,1,3,39,0.764705882,4,8,18,4,5,51,7,10,21,5,8,1992
179,Mathematics I (Revised),585,0.669336384,73,98,141,158,94,289,0.330663616,44,68,76,52,40,874,117,166,217,210,134,1992
180,Mathematics I,254,0.639798489,35,43,55,50,55,143,0.360201511,19,32,35,31,22,397,54,75,90,81,77,1992
181,Mathematics II (Revised),118,0.694117647,21,12,29,33,23,52,0.305882353,10,14,10,8,10,170,31,26,39,41,33,1992
182,Mathematics II,876,0.655198205,115,153,190,212,164,461,0.344801795,78,100,122,100,52,1337,193,253,312,312,216,1992
183,Mathematics III (Revised),104,0.641975309,13,21,37,23,9,58,0.358024691,12,17,18,9,2,162,25,38,55,32,11,1992
184,Mathematics III,71,0.572580645,11,9,19,17,12,53,0.427419355,5,10,16,14,6,124,16,19,35,31,18,1992
185,Mathematics IV,129,0.777108434,22,28,34,26,19,37,0.222891566,5,8,13,7,4,166,27,36,47,33,23,1992
186,Mathematics V (Revised),65,0.82278481,15,8,16,13,12,14,0.17721519,4,1,5,2,2,79,19,9,21,15,14,1992
187,Mathematics V,56,0.823529412,9,3,21,11,11,12,0.176470588,4,4,2,-,1,68,13,7,23,11,12,1992
188,Modern Studies (Revised),67,0.452702703,4,24,25,11,3,81,0.547297297,10,28,36,7,-,148,14,52,61,18,3,1992
189,Modern Studies ,59,0.453846154,6,22,26,4,1,71,0.546153846,3,21,36,10,1,130,9,43,62,14,2,1992
190,Physics (Revised),178,0.859903382,22,22,59,49,24,29,0.140096618,3,2,12,8,4,207,25,24,71,57,28,1992
191,Physics,622,0.80465718,70,80,182,167,119,151,0.19534282,27,25,51,31,17,773,97,105,233,198,136,1992
192,Russian (Revised),-,0,-,-,-,-,-,4,1,1,2,1,-,-,4,1,2,1,-,-,1992
193,Russian,-,0,-,-,-,-,-,3,1,1,2,-,-,-,3,1,2,-,-,-,1992
194,Secretarial Studies (Audio-typewriting),-,0,-,-,-,-,-,10,1,-,2,7,1,-,10,-,2,7,1,-,1992
195,Secretarial Studies (Word Processing),1,0.016393443,-,-,-,1,-,60,0.983606557,4,18,35,3,-,61,4,18,35,4,-,1992
196,Spanish (Revised),7,0.291666667,-,4,3,-,-,17,0.708333333,4,8,5,-,-,24,4,12,8,-,-,1992
197,Spanish,2,0.125,-,1,1,-,-,14,0.875,2,6,4,1,1,16,2,7,5,1,1,1992
198,Technological Studies,14,1,4,7,2,1,-,-,0,-,-,-,-,-,14,4,7,2,1,-,1992
199,English,562,0.349937733,71,135,216,95,39,1044,0.650062267,95,258,455,181,51,1606,166,393,671,276,90,1993
200,French,106,0.218556701,12,33,39,17,5,379,0.781443299,46,114,162,45,12,485,58,147,201,62,17,1993
201,Gaidhlig,6,0.3,1,3,2,-,-,14,0.7,3,3,4,3,1,20,4,6,6,3,1,1993
202,German,49,0.251282051,8,18,19,4,-,146,0.748717949,30,48,62,6,-,195,38,66,81,10,-,1993
203,Greek (Revised),3,0.6,2,1,-,-,-,2,0.4,2,-,-,-,-,5,4,1,-,-,-,1993
204,Greek,-,0,-,-,-,-,-,1,1,1,-,-,-,-,1,1,-,-,-,-,1993
205,Italian,1,0.5,-,1,-,-,-,1,0.5,-,1,-,-,-,2,-,2,-,-,-,1993
206,Latin,13,0.40625,4,4,1,2,2,19,0.59375,5,4,8,2,-,32,9,8,9,4,2,1993
207,Russian,-,0,-,-,-,-,-,4,1,-,1,3,-,-,4,-,1,3,-,-,1993
208,Spanish,8,0.228571429,1,4,3,-,-,27,0.771428571,3,12,10,1,1,35,4,16,13,1,1,1993
209,Mathematics I,1393,0.644012945,208,287,351,322,156,770,0.355987055,98,150,243,186,81,2163,306,437,594,508,237,1993
210,Mathematics II,191,0.670175439,39,43,39,41,26,94,0.329824561,10,19,25,19,19,285,49,62,64,60,45,1993
211,Mathematics III,200,0.657894737,44,43,50,33,30,104,0.342105263,11,22,25,27,19,304,55,65,75,60,49,1993
212,Mathematics IV,124,0.712643678,17,31,24,29,21,50,0.287356322,13,8,18,6,5,174,30,39,42,35,26,1993
213,Mathematics V,123,0.803921569,25,11,33,26,21,30,0.196078431,3,4,16,3,3,153,28,15,49,29,24,1993
214,Biology,240,0.268456376,29,47,80,40,44,654,0.731543624,89,189,230,90,56,894,118,236,310,130,100,1993
215,Chemistry,905,0.534238489,183,221,305,124,71,789,0.465761511,137,259,270,94,29,1694,320,480,575,218,100,1993
216,Physics,832,0.803088803,70,109,241,248,148,204,0.196911197,20,35,76,46,27,1036,90,144,317,294,175,1993
217,Economics (Revised),24,0.888888889,5,12,4,3,-,3,0.111111111,1,1,1,-,-,27,6,13,5,3,-,1993
218,Economics,29,0.674418605,3,7,15,4,-,14,0.325581395,4,4,6,-,-,43,7,11,21,4,-,1993
219,Geography,209,0.526448363,14,55,111,28,1,188,0.473551637,12,68,93,15,-,397,26,123,204,43,1,1993
220,History,291,0.434328358,33,107,112,29,10,379,0.565671642,40,111,177,44,7,670,73,218,289,73,17,1993
221,Modern Studies,126,0.431506849,10,48,48,18,2,166,0.568493151,27,63,62,12,2,292,37,111,110,30,4,1993
222,Computing Studies,105,0.846774194,11,26,48,16,1,19,0.153225806,1,7,9,2,-,124,12,33,57,18,1,1993
223,Engineering,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,1993
224,Management and Information Studies,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,1993
225,Secretarial Studies (Audio-typewriting),-,0,-,-,-,-,-,4,1,-,-,3,1,-,4,-,-,3,1,-,1993
226,Secretarial Studies (Word Processing),-,0,-,-,-,-,-,40,1,2,12,18,8,-,40,2,12,18,8,-,1993
227,Technological Studies,18,1,7,2,5,1,3,-,0,-,-,-,-,-,18,7,2,5,1,3,1993
228,Art and Design (Enquiry),239,0.326949384,27,34,71,78,29,492,0.673050616,30,77,170,165,50,731,57,111,241,243,79,1993
229,Art and Design (Research and Appreciation),10,0.243902439,-,4,6,-,-,31,0.756097561,3,13,12,3,-,41,3,17,18,3,-,1993
230,Religious Studies,2,0.285714286,1,-,1,-,-,5,0.714285714,-,1,1,1,2,7,1,1,2,1,2,1993
231,English,533,0.335853812,68,146,212,82,24,1054,0.664146188,117,312,449,141,33,1587,185,458,661,223,57,1994
232,French,85,0.180084746,11,23,29,16,6,387,0.819915254,40,98,190,48,11,472,51,121,219,64,17,1994
233,Gaidhlig,1,0.043478261,1,-,-,-,-,22,0.956521739,3,12,7,-,-,23,4,12,7,-,-,1994
234,German,35,0.186170213,11,9,12,3,-,153,0.813829787,26,53,70,4,-,188,37,62,82,7,-,1994
235,Greek,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,1994
236,Italian,3,0.75,2,-,1,-,-,1,0.25,-,1,-,-,-,4,2,1,1,-,-,1994
237,Latin,9,0.36,-,5,2,2,-,16,0.64,5,6,4,1,-,25,5,11,6,3,-,1994
238,Russian,2,0.25,1,1,-,-,-,6,0.75,-,3,3,-,-,8,1,4,3,-,-,1994
