Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-Comp,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-Comp,all-Entries,all-A,all-B,all-C,all-Passes,all-Comp,NumberOfCentres
Philosophy,14,30%,4,5,4,13,N/A,33,70%,12,10,3,25,N/A,47,16,15,7,38,N/A,8
Politics,4,50%,1,0,1,2,N/A,4,50%,0,1,1,2,N/A,8,1,1,2,4,N/A,2
Psychology,26,22%,8,8,2,18,3,92,78%,40,15,12,67,2,118,48,23,14,85,5,12
"Religious, Moral and Philosophical Studies",38,29%,2,2,16,20,3,95,71%,12,16,32,60,10,133,14,18,48,80,13,36
Sociology,31,37%,14,3,4,21,2,52,63%,24,10,7,41,0,83,38,13,11,62,2,7
,,,,,,,,,,,,,,,,,,,,,
Administration,179,19%,90,46,13,149,0,773,81%,441,196,48,685,11,952,531,242,61,834,11,98
Business Management,323,41%,98,81,54,233,23,470,59%,199,109,77,385,13,793,297,190,131,618,36,126
Care,11,10%,2,1,5,8,1,98,90%,14,13,25,52,8,109,16,14,30,60,9,7
Care Issues for Society,1,7%,0,0,1,1,N/A,13,93%,2,4,6,12,N/A,14,2,4,7,13,N/A,1
Computing,534,70%,47,112,119,278,N/A,229,30%,30,57,66,153,N/A,763,77,169,185,431,N/A,74
Construction Craft Skills,15,100%,2,4,6,12,N/A,-,0%,-,-,-,-,-,15,2,4,6,12,N/A,1
Construction Industry Practice,14,100%,1,3,2,6,N/A,-,0%,-,-,-,-,-,14,1,3,2,6,N/A,1
Craft and Design,445,87%,105,92,70,267,N/A,67,13%,17,11,16,44,N/A,512,122,103,86,311,N/A,130
Electronic and Electrical Fundamentals,46,100%,9,9,1,19,N/A,-,0%,-,-,-,-,-,46,9,9,1,19,N/A,7
Engineering Craft Skills,100,91%,29,40,22,91,2,10,9%,3,4,2,9,0,110,32,44,24,100,2,24
Graphic Communication,457,73%,79,105,112,296,N/A,166,27%,38,37,38,113,N/A,623,117,142,150,409,N/A,142
Health and Safety in Care Settings,-,0%,-,-,-,-,-,1,100%,0,1,0,1,N/A,1,0,1,0,1,N/A,1
Home Economics - Fashion and Textile Technology,1,9%,0,1,0,1,0,10,91%,4,3,2,9,0,11,4,4,2,10,0,1
Home Economics - Health and Food Technology,42,13%,5,6,15,26,8,286,87%,12,63,102,177,29,328,17,69,117,203,37,98
Home Economics - Lifestyle and Consumer Technology,5,16%,0,1,3,4,0,26,84%,2,7,9,18,1,31,2,8,12,22,1,9
Hospitality - General Operations,84,55%,17,14,5,36,N/A,70,45%,19,13,3,35,N/A,154,36,27,8,71,N/A,8
Hospitality - Practical Cookery,350,22%,121,106,52,279,3,"1,269",78%,654,405,86,"1,145",16,"1,619",775,511,138,"1,424",19,180
Hospitality - Professional Cookery,85,54%,17,17,22,56,N/A,71,46%,24,20,3,47,N/A,156,41,37,25,103,N/A,8
Hospitality - Reception and Accommodation Operations,-,0%,-,-,-,-,-,3,100%,0,1,1,2,N/A,3,0,1,1,2,N/A,1
Information Systems,"1,286",63%,194,275,295,764,N/A,741,37%,116,191,170,477,N/A,"2,027",310,466,465,"1,241",N/A,141
Structures,5,83%,0,0,0,0,N/A,1,17%,0,0,0,0,N/A,6,0,0,0,0,N/A,1
Technological Studies,172,95%,28,26,32,86,N/A,10,5%,3,0,2,5,N/A,182,31,26,34,91,N/A,51
Travel and Tourism,70,29%,20,22,8,50,5,175,71%,65,46,24,135,10,245,85,68,32,185,15,21
Woodworking Skills,705,85%,267,252,151,670,4,124,15%,42,57,22,121,0,829,309,309,173,791,4,139
,,,,,,,,,,,,,,,,,,,,,
Art and Design,258,43%,44,55,50,149,22,337,57%,67,80,85,232,28,595,111,135,135,381,50,111
Drama,57,36%,20,22,4,46,3,100,64%,49,27,8,84,3,157,69,49,12,130,6,22
Media Studies,88,51%,15,18,17,50,5,86,49%,21,21,23,65,6,174,36,39,40,115,11,18
Music,218,47%,35,71,49,155,11,247,53%,36,82,60,178,11,465,71,153,109,333,22,148
,,,,,,,,,,,,,,,,,,,,,
Physical Education,"1,069",78%,219,357,172,748,46,303,22%,82,91,45,218,17,"1,372",301,448,217,966,63,213
