Subject,male-Entries,male-percentage,male-1,male-2,male-3,male-4,male-5,male-6,male-7,female-Entries,female-percentage,female-1,female-2,female-3,female-4,female-5,female-6,female-7,all-Entries,all-1,all-2,all-3,all-4,all-5,all-6,all-7,NumberOfCentres
Modern Studies,"5,807",42%,"1,350","1,115","1,078",906,872,409,77,"8,183",58%,"2,407","1,761","1,485","1,161",888,415,62,"13,990","3,757","2,876","2,563","2,067","1,760",824,139,317
Religious Studies,417,32%,54,81,77,72,77,26,0,895,68%,159,215,199,161,90,30,1,"1,312",213,296,276,233,167,56,1,80
Social and Vocational Skills,"1,461",46%,121,263,412,360,184,55,2,"1,689",54%,285,445,446,290,118,29,0,"3,150",406,708,858,650,302,84,2,119
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Administration,"3,498",24%,239,891,605,771,481,306,47,"10,848",76%,"1,426","3,532","1,897","2,042","1,010",483,90,"14,346","1,665","4,423","2,502","2,813","1,491",789,137,365
Business Management,"2,456",50%,627,717,542,301,177,46,7,"2,491",50%,794,653,522,299,124,46,6,"4,947","1,421","1,370","1,064",600,301,92,13,177
Computing Studies,"13,887",63%,"2,951","3,000","2,812","2,573","1,644",356,28,"8,227",37%,"1,921","1,834","1,672","1,523",782,179,10,"22,114","4,872","4,834","4,484","4,096","2,426",535,38,395
Craft and Design,"11,613",76%,"1,023","2,444","3,004","2,706","1,431",393,16,"3,606",24%,599,862,832,697,293,80,5,"15,219","1,622","3,306","3,836","3,403","1,724",473,21,379
Graphic Communication,"6,668",69%,921,"1,841","1,569","1,157",722,231,6,"2,930",31%,603,879,683,413,223,48,2,"9,598","1,524","2,720","2,252","1,570",945,279,8,343
Home Economics,"1,933",22%,39,166,419,543,425,121,1,"6,979",78%,587,"1,612","2,029","1,572",625,115,3,"8,912",626,"1,778","2,448","2,115","1,050",236,4,349
Technological Studies,"2,472",93%,596,605,508,399,252,50,3,187,7%,57,46,31,29,14,4,0,"2,659",653,651,539,428,266,54,3,154
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art and Design,"8,144",38%,805,"2,344","2,868","1,370",316,36,0,"13,246",62%,"2,660","4,821","4,075","1,078",156,30,0,"21,390","3,465","7,165","6,943","2,448",472,66,0,423
Drama,"1,779",33%,190,464,492,364,144,42,3,"3,673",67%,733,"1,191",911,501,177,37,0,"5,452",923,"1,655","1,403",865,321,79,3,152
Music,"4,020",39%,"1,260","1,125",706,455,210,40,2,"6,350",61%,"2,376","1,908","1,064",494,200,31,1,"10,370","3,636","3,033","1,770",949,410,71,3,393
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Education,"12,759",70%,"1,685","4,125","3,917","1,927",494,68,3,"5,408",30%,666,"1,501","1,506","1,056",392,49,4,"18,167","2,351","5,626","5,423","2,983",886,117,7,388
