Subject,all-Entries,all-Pass,all-A,all-B,all-C,all-D,all-PassesInUngradedCourses,male-Entries,male-A,male-B,male-C,male-Pass,male-D,male-PassesInUngradedCourses,female-Entries,female-A,female-B,female-C,female-Pass,female-D,female-PassesInUngradedCourses,NumberOfCentres
Graphic Communication,696,427,118,138,171,49,-,524,93,99,124,316,38,-,172,25,39,47,111,11,-,84
Hairdressing,"1,123",935,-,-,-,-,935,14,-,-,-,10,-,10,"1,109",-,-,-,925,-,925,38
Health Sector,142,121,-,-,-,-,121,38,-,-,-,28,-,28,104,-,-,-,93,-,93,9
Home Economics: Fashion and Textile Technology,428,397,173,158,66,20,-,11,3,5,1,9,1,-,417,170,153,65,388,19,-,41
Home Economics: Health and Food Technology,420,407,246,134,27,4,-,146,69,56,15,140,2,-,274,177,78,12,267,2,-,25
Home Economics: Lifestyle and Consumer Technology,606,548,244,251,53,15,-,14,1,9,3,13,0,-,592,243,242,50,535,15,-,42
Hospitality,274,224,-,-,-,-,224,115,-,-,-,91,-,91,159,-,-,-,133,-,133,19
Hospitality: Practical Cookery,"6,897","6,199","2,027","2,627","1,545",258,-,"2,701",515,970,825,"2,310",141,-,"4,196","1,512","1,657",720,"3,889",117,-,296
Personal and Social Education,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Personal Development,588,540,-,-,-,-,540,345,-,-,-,317,-,317,243,-,-,-,223,-,223,59
Rural Skills,376,301,-,-,-,-,301,303,-,-,-,243,-,243,73,-,-,-,58,-,58,37
Travel and Tourism,"1,031",905,469,278,158,49,-,443,195,115,69,379,27,-,588,274,163,89,526,22,-,92
Uniformed and Emergency Services,247,183,-,-,-,-,183,193,-,-,-,142,-,142,54,-,-,-,41,-,41,16
Woodworking Skills,"1,691","1,559",521,528,510,19,-,"1,420",437,442,426,"1,305",17,-,271,84,86,84,254,2,-,163
,,,,,,,,,,,,,,,,,,,,,,
Art and Design,"3,740","3,425","2,006",894,525,128,-,"1,459",677,391,246,"1,314",54,-,"2,281","1,329",503,279,"2,111",74,-,245
Creative Digital Media,250,181,-,-,-,-,181,158,-,-,-,116,-,116,92,-,-,-,65,-,65,19
Drama,348,328,206,89,33,9,-,139,70,40,20,130,3,-,209,136,49,13,198,6,-,50
Media Studies,671,486,178,162,146,50,-,391,79,93,85,257,38,-,280,99,69,61,229,12,-,70
Music,740,613,226,241,146,48,-,338,116,92,71,279,18,-,402,110,149,75,334,30,-,127
,,,,,,,,,,,,,,,,,,,,,,
Physical Education,"1,639","1,537",900,455,182,32,-,"1,192",658,328,129,"1,115",23,-,447,242,127,53,422,9,-,124
Sport and Recreation,338,266,-,-,-,-,266,271,-,-,-,207,-,207,67,-,-,-,59,-,59,29
