Subject,male-Entries,male-1,male-2,male-3,male-4,male-5,male-6,male-7,female-Entries,female-1,female-2,female-3,female-4,female-5,female-6,female-7,all-Entries,all-1,all-2,all-3,all-4,all-5,all-6,all-7,NumberOfCentres
History,"9,078",979,"1,690","1,580","1,546","1,908",834,58,"11,581","1,728","2,728","2,388","2,105","1,715",461,21,"20,659","2,707","4,418","3,968","3,651","3,623","1,295",79,425
Modern Studies,"5,859",615,"1,102",920,"1,071","1,067",607,58,"7,017","1,127","1,555","1,238","1,193","1,012",438,36,"12,876","1,742","2,657","2,158","2,264","2,079","1,045",94,342
Social and Vocational Skills,"1,499",48,178,383,414,261,51,1,"1,697",178,392,464,334,151,35,-,"3,196",226,570,847,748,412,86,1,157
,,,,,,,,,,,,,,,,,,,,,,,,,
Computing Studies,"11,260","1,194","2,150","2,251","2,279","1,629",996,116,"6,092",710,"1,283","1,269","1,231",812,417,34,"17,352","1,904","3,433","3,520","3,510","2,441","1,413",150,402
Craft and Design,"9,769",456,"1,561","2,219","2,351","1,557",563,69,"1,880",166,374,447,388,219,70,5,"11,649",622,"1,935","2,666","2,739","1,776",633,74,397
Graphic Communication,"4,610",372,"1,109","1,138",905,570,189,15,"1,168",102,325,319,191,121,36,4,"5,778",474,"1,434","1,457","1,096",691,225,19,290
Home Economics,"1,734",6,53,149,441,486,251,8,"6,798",158,953,"1,678","1,902","1,064",320,13,"8,532",164,"1,006","1,827","2,343","1,550",571,21,389
Office and Information Studies,"2,611",215,447,652,640,250,93,8,"13,906","2,146","3,632","3,844","2,310",767,204,16,"16,517","2,361","4,079","4,496","2,950","1,017",297,24,397
Technological Studies,"5,603",604,"1,054","1,069","1,100",939,390,37,473,61,106,85,90,62,25,1,"6,076",665,"1,160","1,154","1,190","1,001",415,38,340
,,,,,,,,,,,,,,,,,,,,,,,,,
Art and Design,"8,462",377,"1,661","2,682","2,054",804,133,3,"10,473",976,"3,205","3,514","1,669",414,53,1,"18,935","1,353","4,866","6,196","3,723","1,218",186,4,441
Drama,979,29,137,189,251,138,55,-,"1,666",180,431,438,299,102,24,1,"2,645",209,568,627,550,240,79,1,112
Music,"2,568",546,666,454,365,226,59,2,"4,846","1,345","1,469",951,496,214,46,3,"7,414","1,891","2,135","1,405",861,440,105,5,406
,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Education,"9,340",448,"2,375","3,025","1,885",466,54,1,"3,977",150,936,"1,299",882,280,39,-,"13,317",598,"3,311","4,324","2,767",746,93,1,372
,,,,,,,,,,,,,,,,,,,,,,,,,
Religious Studies,421,49,94,92,74,58,15,5,669,78,152,138,129,88,34,3,"1,090",127,246,230,203,146,49,8,78
