Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-Comp,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-Comp,all-Entries,all-A,all-B,all-C,all-Passes,all-Comp,NumberOfCentres
Graphic Communication,763,75%,180,206,189,575,n/a,253,25%,60,70,55,185,n/a,"1,016",240,276,244,760,n/a,217
Health and Safety in Care Settings,11,11%,3,2,1,6,n/a,88,89%,25,17,20,62,n/a,99,28,19,21,68,n/a,10
Home Economics - Fashion and Textile Technology,0,0%,-,-,-,-,-,63,100%,4,14,23,41,7,63,4,14,23,41,7,12
Home Economics - Health and Food Technology,27,9%,0,5,7,12,5,262,91%,6,21,90,117,41,289,6,26,97,129,46,80
Home Economics - Lifestyle and Consumer Technology,6,7%,0,0,1,1,0,84,93%,0,7,21,28,10,90,0,7,22,29,10,17
Hospitality - General Operations,76,33%,13,27,9,49,n/a,151,67%,35,69,15,119,n/a,227,48,96,24,168,n/a,23
Hospitality - Practical Cookery,509,22%,191,164,88,443,27,"1,847",78%,951,606,166,"1,723",33,"2,356","1,142",770,254,"2,166",60,255
Hospitality - Professional Cookery,135,50%,26,43,22,91,n/a,133,50%,47,35,23,105,n/a,268,73,78,45,196,n/a,18
Hospitality - Reception and Accommodation Operations,1,14%,0,0,1,1,n/a,6,86%,2,2,1,5,n/a,7,2,2,2,6,n/a,1
Information Systems,"2,271",67%,467,600,514,"1,581",n/a,"1,143",33%,300,296,257,853,n/a,"3,414",767,896,771,"2,434",n/a,264
Personal and Social Education,6,21%,2,0,1,3,0,23,79%,8,2,7,17,0,29,10,2,8,20,0,9
Selling Overseas Tourist Destinations,13,10%,0,3,5,8,n/a,116,90%,10,28,35,73,n/a,129,10,31,40,81,n/a,10
,,,,,,,,,,,,,,,,,,,,,
Technological Studies,228,96%,44,35,41,120,n/a,10,4%,3,0,2,5,n/a,238,47,35,43,125,n/a,49
Travel and Tourism,204,28%,12,31,58,101,9,527,72%,66,103,102,271,33,731,78,134,160,372,42,71
Woodworking Skills,"1,536",81%,588,591,308,"1,487",0,367,19%,170,132,60,362,0,"1,903",758,723,368,"1,849",0,232
,,,,,,,,,,,,,,,,,,,,,
Art and Design,846,42%,228,232,192,652,66,"1,147",58%,414,298,258,970,66,"1,993",642,530,450,"1,622",132,308
Drama,205,38%,96,57,24,177,4,337,62%,214,67,33,314,4,542,310,124,57,491,8,69
Media Studies,202,44%,7,31,29,67,26,261,56%,22,52,63,137,28,463,29,83,92,204,54,45
Music,422,47%,109,138,93,340,17,479,53%,142,155,117,414,28,901,251,293,210,754,45,222
,,,,,,,,,,,,,,,,,,,,,
Fitness and Exercise,21,70%,7,5,3,15,n/a,9,30%,5,2,0,7,n/a,30,12,7,3,22,n/a,3
Leading Sports Activities,4,80%,3,1,0,4,n/a,1,20%,1,0,0,1,n/a,5,4,1,0,5,n/a,1
Physical Education,"1,544",80%,544,566,196,"1,306",24,389,20%,147,120,71,338,11,"1,933",691,686,267,"1,644",35,301
