Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-PassesUngraded,male-Passes,male-D,female-Entries,female-percentage,female-A,female-B,female-C,female-PassesUngraded,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-PassesUngraded,all-Passes,all-D,NumberOfCentres
Creative Cake Production,78,19%,52,17,9, -,78,0,339,81%,266,49,23, -,338,0,417,318,66,32, -,416,0,42
Design,0,0%, -, -, -, -, -, -,13,100%,5,4,3, -,12,0,13,5,4,3, -,12,0,1
Early Education and Childcare,5,1%, -, -, -,5,5, -,330,99%, -, -, -,291,291, -,335, -, -, -,296,296, -,20
Electrical Installation Fundamentals,57,92%,8,11,18, -,37,5,5,8%,0,1,1, -,2,0,62,8,12,19, -,39,5,5
Electronic and Electrical Fundamentals,119,99%,25,11,25, -,61,5,1,1%,1,0,0, -,1,0,120,26,11,25, -,62,5,6
Engineering Craft Skills,487,93%,217,146,111, -,474,2,39,7%,14,13,10, -,37,0,526,231,159,121, -,511,2,62
Financial Services,20,36%, -, -, -,20,20, -,35,64%, -, -, -,35,35, -,55, -, -, -,55,55, -,7
Graphic Communication,"1,181",70%,381,320,216, -,917,52,511,30%,183,150,85, -,418,30,"1,692",564,470,301, -,"1,335",82,231
Health and Safety in Care Settings,9,5%,1,3,3, -,7,1,155,95%,52,53,28, -,133,8,164,53,56,31, -,140,9,7
Home Economics: Fashion and Textile Technology,2,2%,0,0,0, -,0,0,86,98%,9,16,22, -,47,21,88,9,16,22, -,47,21,19
Home Economics: Health and Food Technology,44,17%,2,19,15, -,36,1,221,83%,23,69,70, -,162,25,265,25,88,85, -,198,26,51
Home Economics: Lifestyle and Consumer Technology,3,3%,0,1,1, -,2,0,87,97%,8,19,27, -,54,16,90,8,20,28, -,56,16,19
Hospitality - General Operations,60,45%,14,27,6, -,47,0,73,55%,37,17,8, -,62,0,133,51,44,14, -,109,0,7
Hospitality - Practical Cookery,"1,188",27%,425,407,214, -,"1,046",52,"3,138",73%,"1,720",929,310, -,"2,959",80,"4,326","2,145","1,336",524, -,"4,005",132,301
Hospitality - Professional Cookery,76,54%,12,23,25, -,60,6,65,46%,15,25,13, -,53,5,141,27,48,38, -,113,11,5
Hospitality - Reception and Accommodation Operations,2,18%,0,2,0, -,2,0,9,82%,7,0,1, -,8,1,11,7,2,1, -,10,1,1
Information Systems,"1,163",63%,318,315,249, -,882,92,683,37%,272,157,119, -,548,48,"1,846",590,472,368, -,"1,430",140,173
Personal and Social Education,4,21%,3,0,0, -,3,0,15,79%,3,4,4, -,11,0,19,6,4,4, -,14,0,7
Product Design,655,71%,226,160,122, -,508,35,264,29%,114,63,45, -,222,6,919,340,223,167, -,730,41,170
Selling Overseas Tourist Destinations,7,11%,3,0,2, -,5,1,59,89%,15,21,10, -,46,1,66,18,21,12, -,51,2,5
Technological Studies,148,95%,38,31,23, -,92,14,7,5%,5,1,1, -,7,0,155,43,32,24, -,99,14,26
Travel and Tourism,179,32%,19,44,56, -,119,21,375,68%,43,83,115, -,241,27,554,62,127,171, -,360,48,61
Woodworking Skills,"3,286",85%,"1,344","1,113",718, -,"3,175",16,563,15%,285,180,84, -,549,1,"3,849","1,629","1,293",802, -,"3,724",17,285
,,,,,,,,,,,,,,,,,,,,,,,,
Art and Design,"1,747",31%,925,376,254, -,"1,555",70,"3,904",69%,"2,364",847,490, -,"3,701",86,"5,651","3,289","1,223",744, -,"5,256",156,367
Drama,370,35%,180,110,54, -,344,7,702,65%,381,172,104, -,657,15,"1,072",561,282,158, -,"1,001",22,102
Media Studies,367,44%,21,61,94, -,176,44,461,56%,59,100,124, -,283,51,828,80,161,218, -,459,95,84
Music,"1,549",46%,654,417,281, -,"1,352",62,"1,825",54%,842,504,307, -,"1,653",74,"3,374","1,496",921,588, -,"3,005",136,293
,,,,,,,,,,,,,,,,,,,,,,,,
Fitness and Exercise,17,71%,0,3,5, -,8,0,7,29%,1,1,0, -,2,1,24,1,4,5, -,10,1,2
Leading Sports Activities,13,59%,3,7,2, -,12,0,9,41%,2,2,5, -,9,0,22,5,9,7, -,21,0,2
Physical Education,"2,654",73%,"1,160",964,348, -,"2,472",47,977,27%,498,297,128, -,923,23,"3,631","1,658","1,261",476, -,"3,395",70,330
Sport and Recreation,38,76%, -, -, -,34,34, -,12,24%, -, -, -,12,12, -,,,,,,,,
